status,lead_source,owner_role,priority_bucket,recommended_action,lead_is_converted,xai_probability,reason_1,reason_2,reason_3,xai_summary
Open,Web,SDR,Hot,Contact today,0,0.5872001554383444,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Nurturing,Web,SDR,Cold,Add to nurture campaign,0,0.5036789370564628,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Working,Inbound,BDR,Warm,Follow up within 48 hours,0,0.41235608606938423,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Web,BDR,Warm,Follow up within 48 hours,1,0.5026849842155608,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Working,Event,SDR,Cold,Add to nurture campaign,1,0.3634343412184351,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Working,Web,SDR,Hot,Contact today,1,0.4811310872681257,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Open,Partner Referral,BDR,Hot,Contact today,1,0.5279544483105282,Higher task created recency increased priority,Lead = source_Partner Referral,Owner = role_BDR,"This lead is ranked higher because higher task created recency increased priority, lead = source_partner referral, and owner = role_bdr."
Qualified,Trade Show,SDR,Warm,Follow up within 48 hours,0,0.3905845928526732,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher task intensity per owner day increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher task intensity per owner day increased priority."
Qualified,Trade Show,AE,Cool,Nurture and monitor,1,0.4879064813582978,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Partner Referral,BDR,Warm,Follow up within 48 hours,1,0.5032405393453983,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Working,Event,SDR,Cold,Add to nurture campaign,0,0.42119027640103796,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Open,Web,BDR,Cool,Nurture and monitor,0,0.47671234013345654,Higher task created recency increased priority,Lower days since last task activity increased priority,Lower lead age increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and lower lead age increased priority."
Open,Inbound,BDR,Warm,Follow up within 48 hours,0,0.4615847091169975,Lower days since last task created increased priority,Higher task created recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and owner = role_bdr."
Working,Event,AE,Cold,Add to nurture campaign,0,0.5923138742901888,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Event,BDR,Cold,Add to nurture campaign,1,0.4524235756375332,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Working,Event,BDR,Cold,Add to nurture campaign,1,0.4786473340192874,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Qualified,Partner Referral,SDR,Hot,Contact today,1,0.5324600697955336,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher high priority task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher high priority task count increased priority."
Working,Event,AE,Cold,Add to nurture campaign,1,0.5602804519504506,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Qualified,Inbound,BDR,Hot,Contact today,1,0.5389252183635995,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Qualified,Trade Show,BDR,Cool,Nurture and monitor,0,0.46862174385581135,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Partner Referral,BDR,Warm,Follow up within 48 hours,1,0.603092916905139,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Partner Referral,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_partner referral."
Open,Partner Referral,AE,Hot,Contact today,0,0.5971198528263881,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Outbound,BDR,Cold,Add to nurture campaign,1,0.47508072989414646,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Open,Inbound,BDR,Hot,Contact today,1,0.48559903646716174,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Nurturing,Web,BDR,Warm,Follow up within 48 hours,0,0.4851993139901449,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Qualified,Web,BDR,Hot,Contact today,1,0.48825023762567366,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Working,Trade Show,BDR,Cool,Nurture and monitor,0,0.46817682196762794,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Open,Inbound,BDR,Hot,Contact today,0,0.49359386290488955,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Partner Referral,SDR,Cold,Add to nurture campaign,0,0.540010090979287,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task ratio increased priority."
Qualified,Trade Show,SDR,Cold,Add to nurture campaign,1,0.6674332704382183,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Working,Partner Referral,BDR,Cold,Add to nurture campaign,1,0.5013596667958424,Higher task created recency increased priority,Lower days since last task activity increased priority,Higher closed task count increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and higher closed task count increased priority."
Qualified,Inbound,BDR,Hot,Contact today,0,0.51866013080708,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Partner Referral,AE,Cold,Add to nurture campaign,0,0.5728884952757655,Higher task created recency increased priority,Lower days since last task activity increased priority,Lead = source_Partner Referral,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and lead = source_partner referral."
Nurturing,Partner Referral,BDR,Cold,Add to nurture campaign,1,0.5048950406517805,Higher task created recency increased priority,Lower days since last task created increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task created increased priority, and higher closed task ratio increased priority."
Working,Trade Show,SDR,Cool,Nurture and monitor,1,0.46888262295563793,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Qualified,Web,AE,Hot,Contact today,0,0.5132665397767314,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Working,Web,BDR,Warm,Follow up within 48 hours,1,0.5889579348347928,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Outbound,BDR,Warm,Follow up within 48 hours,0,0.5359177945700756,Higher task created recency increased priority,Lower days since last task activity increased priority,Owner = role_BDR,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and owner = role_bdr."
Working,Web,SDR,Warm,Follow up within 48 hours,0,0.4396733831808013,Lower days since last task created increased priority,Higher task created recency increased priority,Higher task velocity increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher task velocity increased priority."
Nurturing,Event,SDR,Cold,Add to nurture campaign,0,0.54323366654191,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher high priority task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher high priority task ratio increased priority."
Nurturing,Outbound,BDR,Cool,Nurture and monitor,1,0.4752075195001335,Higher task created recency increased priority,Lower days since last task activity increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and higher closed task ratio increased priority."
Qualified,Trade Show,BDR,Warm,Follow up within 48 hours,1,0.47871672486334577,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Trade Show,SDR,Cold,Add to nurture campaign,1,0.4095718635945189,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Working,Trade Show,AE,Cool,Nurture and monitor,0,0.35066315253971686,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher open task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher open task count increased priority."
Nurturing,Web,BDR,Hot,Contact today,0,0.40943345278948434,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Nurturing,Outbound,SDR,Cold,Add to nurture campaign,1,0.4636505766135777,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Open,Trade Show,SDR,Warm,Follow up within 48 hours,1,0.5422161376462357,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Trade Show,AE,Cold,Add to nurture campaign,1,0.6879072552316081,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Event,BDR,Cold,Add to nurture campaign,0,0.4467752859217295,Higher task created recency increased priority,Lower days since last task activity increased priority,Owner = role_BDR,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and owner = role_bdr."
Qualified,Inbound,SDR,Warm,Follow up within 48 hours,1,0.47738088516114546,Lower days since last task activity increased priority,Higher task activity recency increased priority,Status = Qualified,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and status = qualified."
Working,Trade Show,BDR,Cold,Add to nurture campaign,0,0.5188823710702981,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Qualified,Outbound,SDR,Cool,Nurture and monitor,1,0.5467659506198567,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task ratio increased priority."
Open,Partner Referral,SDR,Hot,Contact today,1,0.6061771167364026,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Web,SDR,Cold,Add to nurture campaign,1,0.5471102020283332,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Event,BDR,Cold,Add to nurture campaign,1,0.5198092238893103,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Nurturing,Partner Referral,SDR,Cold,Add to nurture campaign,0,0.4743701998152415,Higher task created recency increased priority,Lower days since last task created increased priority,Lead = source_Partner Referral,"This lead is ranked higher because higher task created recency increased priority, lower days since last task created increased priority, and lead = source_partner referral."
Open,Web,AE,Warm,Follow up within 48 hours,0,0.6120724229345549,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Qualified,Trade Show,BDR,Cold,Add to nurture campaign,1,0.4475178150311739,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Outbound,SDR,Cold,Add to nurture campaign,0,0.5521594108035504,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Qualified,Event,SDR,Cold,Add to nurture campaign,1,0.38611212913827037,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Working,Web,BDR,Warm,Follow up within 48 hours,0,0.505584788587748,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Working,Trade Show,SDR,Cold,Add to nurture campaign,1,0.4517017729312724,Higher task created recency increased priority,Lower days since last task created increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task created increased priority, and higher closed task ratio increased priority."
Open,Web,SDR,Hot,Contact today,0,0.5969953266588538,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Qualified,Inbound,SDR,Cold,Add to nurture campaign,1,0.4574302390494836,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task ratio increased priority."
Working,Partner Referral,BDR,Warm,Follow up within 48 hours,0,0.5400708452050782,Lower days since last task created increased priority,Higher task created recency increased priority,Lead = source_Partner Referral,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and lead = source_partner referral."
Working,Web,SDR,Hot,Contact today,0,0.3720129805279893,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Qualified,Trade Show,BDR,Warm,Follow up within 48 hours,1,0.47125618602646047,Higher task created recency increased priority,Lower days since last task created increased priority,Owner = role_BDR,"This lead is ranked higher because higher task created recency increased priority, lower days since last task created increased priority, and owner = role_bdr."
Nurturing,Inbound,BDR,Cool,Nurture and monitor,1,0.4682360420275234,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Working,Partner Referral,BDR,Hot,Contact today,1,0.44488835777160685,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Partner Referral,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_partner referral."
Open,Partner Referral,BDR,Warm,Follow up within 48 hours,0,0.5215423001092908,Lower days since last task created increased priority,Higher task created recency increased priority,Lead = source_Partner Referral,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and lead = source_partner referral."
Nurturing,Partner Referral,BDR,Cold,Add to nurture campaign,0,0.48511574549901393,Higher task created recency increased priority,Higher closed task ratio increased priority,Lead = source_Partner Referral,"This lead is ranked higher because higher task created recency increased priority, higher closed task ratio increased priority, and lead = source_partner referral."
Working,Outbound,SDR,Cold,Add to nurture campaign,1,0.46479968344392364,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Nurturing,Inbound,BDR,Cool,Nurture and monitor,0,0.4923847940956274,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Nurturing,Partner Referral,BDR,Warm,Follow up within 48 hours,0,0.45931927822579627,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Nurturing,Trade Show,SDR,Cold,Add to nurture campaign,0,0.3361704474148463,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Outbound,SDR,Warm,Follow up within 48 hours,1,0.5675880685669018,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher high priority task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher high priority task count increased priority."
Nurturing,Web,AE,Cool,Nurture and monitor,0,0.5526286952159999,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Working,Event,SDR,Cold,Add to nurture campaign,0,0.4175279693388498,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Working,Event,AE,Warm,Follow up within 48 hours,0,0.35642257309208375,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher high priority task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher high priority task count increased priority."
Working,Inbound,SDR,Cool,Nurture and monitor,1,0.5361169971607693,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Working,Outbound,SDR,Cool,Nurture and monitor,0,0.3810537338990319,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Open,Web,BDR,Hot,Contact today,0,0.551638102729718,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Working,Outbound,SDR,Cold,Add to nurture campaign,1,0.5008131492251136,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Working,Web,BDR,Warm,Follow up within 48 hours,1,0.44755243028473,Lower days since last task created increased priority,Higher task created recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and lead = source_web."
Open,Trade Show,BDR,Cold,Add to nurture campaign,0,0.423477965252347,Higher task created recency increased priority,Lower days since last task activity increased priority,Higher closed task count increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and higher closed task count increased priority."
Open,Event,BDR,Hot,Contact today,1,0.45039748150339987,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Working,Inbound,BDR,Warm,Follow up within 48 hours,0,0.5355046755010254,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Qualified,Trade Show,SDR,Cool,Nurture and monitor,0,0.5194036913093187,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Open,Web,BDR,Hot,Contact today,1,0.5422968704329768,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Qualified,Trade Show,SDR,Cold,Add to nurture campaign,1,0.5187662534031318,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Partner Referral,BDR,Cool,Nurture and monitor,1,0.5343365736138967,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Trade Show,BDR,Cold,Add to nurture campaign,0,0.4978786614880661,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Open,Trade Show,BDR,Cold,Add to nurture campaign,1,0.47894411178415575,Higher task created recency increased priority,Lower days since last task activity increased priority,Higher closed task count increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and higher closed task count increased priority."
Open,Partner Referral,BDR,Hot,Contact today,1,0.5185319839222179,Higher task created recency increased priority,Lower days since last task activity increased priority,Lead = source_Partner Referral,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and lead = source_partner referral."
Qualified,Web,SDR,Hot,Contact today,1,0.5947112871835939,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Qualified,Inbound,BDR,Hot,Contact today,0,0.5492826959970273,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Open,Outbound,SDR,Warm,Follow up within 48 hours,0,0.46147427566252713,Higher task created recency increased priority,Higher closed task count increased priority,Higher open task ratio increased priority,"This lead is ranked higher because higher task created recency increased priority, higher closed task count increased priority, and higher open task ratio increased priority."
Nurturing,Event,SDR,Cold,Add to nurture campaign,0,0.49557908591427435,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Open,Trade Show,BDR,Hot,Contact today,0,0.49686030993573427,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Nurturing,Web,SDR,Cool,Nurture and monitor,0,0.5950577597407898,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Qualified,Event,BDR,Warm,Follow up within 48 hours,0,0.559182122961624,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Open,Outbound,BDR,Warm,Follow up within 48 hours,1,0.5835707720088812,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Open,Web,BDR,Warm,Follow up within 48 hours,0,0.609846212888776,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task ratio increased priority."
Nurturing,Partner Referral,BDR,Cold,Add to nurture campaign,1,0.5452053809123835,Lower days since last task created increased priority,Higher task created recency increased priority,Lead = source_Partner Referral,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and lead = source_partner referral."
Nurturing,Trade Show,SDR,Cold,Add to nurture campaign,0,0.5905098028619834,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Partner Referral,SDR,Cold,Add to nurture campaign,1,0.5070344539557773,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Open,Web,BDR,Hot,Contact today,1,0.5582775642059294,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Nurturing,Outbound,SDR,Cold,Add to nurture campaign,1,0.44903791622909645,Higher task created recency increased priority,Lower days since last task created increased priority,Higher task velocity increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task created increased priority, and higher task velocity increased priority."
Working,Outbound,BDR,Cool,Nurture and monitor,1,0.48033384426342174,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Working,Event,BDR,Cold,Add to nurture campaign,0,0.4313921034121421,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Qualified,Inbound,BDR,Hot,Contact today,0,0.5081637835670517,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Open,Web,SDR,Hot,Contact today,1,0.5210413866548633,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Working,Partner Referral,SDR,Cold,Add to nurture campaign,0,0.5470957058952529,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
