status,lead_source,lead_owner_id,owner_role,owner_department,owner_is_active,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,lead_is_converted,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity
Working,Trade Show,005DS8Y3naP935K0U7,BDR,Sales,1,2,0,2,0,801,1,298,-630.0,-634.0
Nurturing,Inbound,005bo0fFeWaVUqG2KV,SDR,Sales,1,7,6,1,2,1028,1,-269,-927.0,-944.0
Open,Web,005lECbWsEiD75E7eC,SDR,Sales,1,4,2,2,2,1265,0,-762,-1129.0,-1159.0
Nurturing,Web,005gvRs74Xd8fUlA3x,BDR,Sales,1,2,1,1,1,514,1,1136,-42.0,-47.0
Nurturing,Outbound,0055pWDZRM9H820dFq,SDR,Sales,1,2,2,0,0,1401,0,-1051,-925.0,-946.0
Open,Outbound,005FW7cpQveNM0iR7j,SDR,Sales,1,6,2,4,4,39,0,1302,88.0,80.0
Working,Partner Referral,005XY6JL792Cjz6tvp,BDR,Sales,1,5,3,2,4,903,1,-129,-701.0,-731.0
Qualified,Trade Show,005sj6ewizq0NwPrwm,BDR,Sales,1,1,1,0,0,340,1,1188,-236.0,-239.0
Open,Web,005eDoAsKFf2bpyVk2,BDR,Sales,1,2,2,0,1,171,1,-60,24.0,17.0
Qualified,Event,005r8kcdxSxYgha9K0,SDR,Sales,1,2,2,0,1,292,1,32,74.0,48.0
Working,Web,005Xq8vs8ialvuJ4ap,SDR,Sales,1,7,3,4,6,861,0,-743,-742.0,-768.0
Open,Partner Referral,005F4DJKwnDrFRcqbf,BDR,Sales,1,2,1,1,1,566,1,593,401.0,395.0
Nurturing,Event,005ZhFZ3TvVOVxKEgo,SDR,Sales,1,6,3,3,3,169,0,-20,-176.0,-183.0
Working,Partner Referral,005ZgXPYFXOBU7G1tp,BDR,Sales,1,5,1,4,3,1289,1,-687,-961.0,-979.0
Open,Trade Show,005dEsDKcaedNVmJU3,SDR,Sales,1,5,2,3,1,234,0,1153,699.0,671.0
Nurturing,Partner Referral,0058Bwr0RkCwwLehpc,BDR,Sales,1,5,3,2,1,1147,0,-662,-850.0,-870.0
Open,Outbound,005gYdlj9yv5Cc6zkp,BDR,Sales,1,2,0,2,1,781,1,-480,445.0,416.0
Qualified,Outbound,005oTuswObpFtGANeE,SDR,Sales,1,4,3,1,2,158,0,29,-1.0,-20.0
Working,Inbound,005H18uJWTVdyNheWe,BDR,Sales,1,1,0,1,0,1334,0,-1219,59.0,51.0
Open,Web,005EhkAnpKcWuNovJ6,BDR,Sales,1,4,3,1,2,1281,0,-522,-1208.0,-1217.0
Nurturing,Event,005Fg6NzJiUZlow1pr,BDR,Sales,1,5,2,3,2,124,0,1109,-148.0,-149.0
Open,Event,005a88RCsXNcc8P2XG,BDR,Sales,1,5,2,3,0,904,0,416,-914.0,-924.0
Qualified,Partner Referral,005M1BnJPIeqHk8Nds,SDR,Sales,1,2,1,1,0,1322,1,-882,-1206.0,-1234.0
Qualified,Partner Referral,005qhOaTRDj8l4v6Lo,SDR,Sales,1,9,4,5,3,854,0,452,-805.0,-814.0
Open,Trade Show,005gvRs74Xd8fUlA3x,BDR,Sales,1,3,1,2,1,668,1,982,-660.0,-665.0
Working,Outbound,005FW7cpQveNM0iR7j,SDR,Sales,1,4,2,2,0,948,0,393,-438.0,-459.0
Working,Trade Show,005hrcAAsV0H3bsIeE,SDR,Sales,1,5,2,3,0,397,0,-13,-232.0,-258.0
Qualified,Inbound,005Jf9CIg9lV3G32cG,BDR,Sales,1,5,0,5,0,1371,1,-378,-1040.0,-1065.0
Open,Inbound,005rTQ0LB8Z2cjvjPG,BDR,Sales,1,4,2,2,1,1035,1,-173,-622.0,-626.0
Nurturing,Outbound,005hJPMnhQ0WRyZFX9,BDR,Sales,1,4,1,3,1,489,1,258,-72.0,-97.0
Open,Trade Show,005GkgNJqeO2GW2jXH,SDR,Sales,1,3,0,3,2,1245,1,232,-1233.0,-1238.0
Nurturing,Inbound,005eDoAsKFf2bpyVk2,BDR,Sales,1,7,3,4,4,1234,0,-1123,-840.0,-869.0
Nurturing,Partner Referral,005gYdlj9yv5Cc6zkp,BDR,Sales,1,4,2,2,0,1238,0,-937,-792.0,-812.0
Open,Web,005XY6JL792Cjz6tvp,BDR,Sales,1,3,2,1,2,156,0,618,-140.0,-165.0
Open,Partner Referral,005FlqJ6WT9psqZImt,AE,Sales,1,1,1,0,0,1345,0,-1256,-160.0,-169.0
Working,Trade Show,005Zig763saiCy9Xs5,BDR,Sales,1,2,1,1,0,625,1,954,-265.0,-295.0
Open,Web,00569YZ8tMEls1oPGs,SDR,Sales,1,5,3,2,3,748,0,750,-430.0,-450.0
Working,Trade Show,005ZRAk3rxvD6mvf15,BDR,Sales,1,5,2,3,5,297,1,205,-286.0,-289.0
Qualified,Partner Referral,005CL72UB9NlJw0t0Z,AE,Sales,1,5,1,4,1,705,1,-632,-686.0,-691.0
Working,Web,0055zd5SriKEc8WlTo,SDR,Sales,1,4,2,2,0,1314,0,-530,-1263.0,-1268.0
Qualified,Web,0052iY9Uot4wf3iCnE,AE,Sales,1,7,5,2,2,1417,0,-1021,-1207.0,-1236.0
Open,Web,005r9q3iIp3WHLiZhI,SDR,Sales,1,6,2,4,1,1000,0,406,-816.0,-839.0
Nurturing,Outbound,005mm9vtHx0K9TGlB7,SDR,Sales,1,2,0,2,0,1119,1,-565,-485.0,-510.0
Qualified,Event,005TqlXejhWbvjVWsd,AE,Sales,1,2,2,0,1,624,0,-154,344.0,316.0
Qualified,Web,005Rxy2aV7ygR0ASuT,BDR,Sales,1,3,2,1,0,959,0,672,-714.0,-731.0
Open,Partner Referral,005xIxpup9aX5Yc366,AE,Sales,1,2,1,1,0,76,0,613,-1.0,-18.0
Qualified,Partner Referral,005Sq8Z0wjCdFUQUHx,SDR,Sales,1,6,3,3,2,449,1,294,-132.0,-156.0
Nurturing,Web,005EhkAnpKcWuNovJ6,BDR,Sales,1,5,4,1,1,537,1,222,-430.0,-458.0
Open,Event,005bBd6E3UkbkZtoaS,AE,Sales,1,2,2,0,2,951,1,-800,-741.0,-767.0
Open,Event,005CS61es1IwtecnA5,SDR,Sales,1,10,8,2,4,1368,1,-1290,-1353.0,-1364.0
Nurturing,Outbound,005SzPtEFRJYtyoJvY,BDR,Sales,1,2,0,2,0,1439,1,-875,-739.0,-757.0
Open,Inbound,005SHkriY5Z0W9xzJS,BDR,Sales,1,4,1,3,2,661,0,-659,201.0,177.0
Qualified,Event,005PkYO2xaCUvet6zY,SDR,Sales,1,3,0,3,0,1085,1,-379,-47.0,-58.0
Working,Partner Referral,005kGz3iLXUMdHQq3f,SDR,Sales,1,2,2,0,0,971,1,25,-389.0,-408.0
Open,Web,005f9kyPUYR0yZXH7k,SDR,Sales,1,3,1,2,1,485,0,-160,47.0,33.0
Working,Outbound,005kPk12Yr5iVYwvIy,AE,Sales,1,2,1,1,2,123,1,1204,1177.0,1147.0
Qualified,Inbound,005mYnZlHWW2dnL0rt,BDR,Sales,1,5,1,4,0,1294,0,261,-1282.0,-1296.0
Nurturing,Inbound,005r9q3iIp3WHLiZhI,SDR,Sales,1,2,2,0,0,333,0,1073,46.0,38.0
Working,Web,005YgcwjR0nrnHIGZX,SDR,Sales,1,6,4,2,3,1315,1,228,-1298.0,-1300.0
Qualified,Outbound,005CL72UB9NlJw0t0Z,AE,Sales,1,3,2,1,2,484,0,-411,-276.0,-300.0
Working,Web,005mzHykyCWibqXEgp,BDR,Sales,1,4,0,4,2,1026,1,-412,-1047.0,-1056.0
Qualified,Trade Show,005HAD1xOIM0ZXro8p,SDR,Sales,1,4,2,2,2,826,1,-738,-693.0,-721.0
Qualified,Web,005lkDbq9IPSQ2U7zZ,BDR,Sales,1,0,0,0,0,371,0,980,,
Working,Event,005Wrx3urpzsQneM9P,AE,Sales,1,3,0,3,1,398,1,89,421.0,416.0
Working,Web,005pCTycClXuIF6SUv,BDR,Sales,1,1,1,0,0,405,0,361,-264.0,-273.0
Working,Web,0059UKz8nd1s6XFb2G,BDR,Sales,1,5,3,2,3,1419,0,-1005,-1412.0,-1436.0
Nurturing,Event,005eP2OT2tJzd6Dja9,BDR,Sales,1,1,1,0,1,932,0,-163,199.0,174.0
Working,Outbound,005rTQ0LB8Z2cjvjPG,BDR,Sales,1,4,2,2,1,288,0,574,-98.0,-118.0
Nurturing,Web,005EF1FFbGvvXzIjDl,SDR,Sales,1,7,5,2,2,1398,1,-332,-1233.0,-1257.0
Qualified,Trade Show,005KXIvx3Ru4Hx5BVz,SDR,Sales,1,4,3,1,0,241,1,554,440.0,435.0
Open,Inbound,005N1Jj8umhbHxSPTH,SDR,Sales,1,1,1,0,0,1329,0,-1316,-968.0,-991.0
Nurturing,Trade Show,005lkDbq9IPSQ2U7zZ,BDR,Sales,1,5,2,3,3,1047,1,304,-888.0,-896.0
Working,Inbound,0052yGgxi1v4hCqV4x,SDR,Sales,1,0,0,0,0,303,0,878,,
Nurturing,Outbound,005f9kyPUYR0yZXH7k,SDR,Sales,1,5,3,2,0,1125,1,-800,-858.0,-882.0
Nurturing,Inbound,005PuqoGxlvwVICWiV,BDR,Sales,1,4,4,0,1,91,1,1491,-26.0,-46.0
Working,Web,005yopVEVGjrYSQu2q,SDR,Sales,1,8,3,5,4,501,0,649,-394.0,-398.0
Qualified,Partner Referral,005HAD1xOIM0ZXro8p,SDR,Sales,1,2,2,0,1,138,0,-50,-62.0,-76.0
Open,Outbound,005Jf9CIg9lV3G32cG,BDR,Sales,1,3,3,0,1,396,1,597,87.0,76.0
Working,Inbound,005mzHykyCWibqXEgp,BDR,Sales,1,4,3,1,0,849,1,-235,427.0,425.0
Qualified,Outbound,0059wV9ybGAGQOgvhj,BDR,Sales,1,4,3,1,0,496,0,608,-369.0,-392.0
Open,Inbound,005ZgXPYFXOBU7G1tp,BDR,Sales,1,2,1,1,0,119,0,483,1130.0,1105.0
Nurturing,Event,005SotgxabsZFoiinJ,BDR,Sales,1,2,2,0,0,1061,0,-577,-666.0,-689.0
Qualified,Event,005lFrIUHPTHLXsJgY,BDR,Sales,1,2,2,0,1,58,1,714,668.0,641.0
Qualified,Outbound,005sW3tnobKnIyN0Nz,SDR,Sales,1,3,1,2,1,13,1,24,82.0,79.0
Nurturing,Outbound,0055pWDZRM9H820dFq,SDR,Sales,1,4,1,3,1,1251,1,-901,-646.0,-663.0
Nurturing,Web,005ZhFZ3TvVOVxKEgo,SDR,Sales,1,5,4,1,0,1411,1,-1262,-888.0,-897.0
Working,Event,0055zd5SriKEc8WlTo,SDR,Sales,1,7,3,4,3,536,1,248,-425.0,-453.0
Working,Web,005tRa1eePdjJYM6mg,BDR,Sales,1,1,0,1,1,350,0,1094,0.0,-30.0
Working,Inbound,005A7aBOiWo1s4A8VA,BDR,Sales,1,2,0,2,0,1050,0,420,-1037.0,-1040.0
Qualified,Trade Show,0059UKz8nd1s6XFb2G,BDR,Sales,1,0,0,0,0,641,1,-227,,
Open,Event,005ZgXPYFXOBU7G1tp,BDR,Sales,1,1,0,1,0,1363,1,-761,-1309.0,-1317.0
Working,Event,005f9kyPUYR0yZXH7k,SDR,Sales,1,3,2,1,1,1090,0,-765,-904.0,-927.0
Nurturing,Web,005dKuyWKIuifL64ip,BDR,Sales,1,4,1,3,1,572,1,-536,263.0,245.0
Qualified,Partner Referral,005JwwpEL8xofdwkwl,SDR,Sales,1,5,4,1,3,508,0,327,-129.0,-133.0
Open,Trade Show,005mzHykyCWibqXEgp,BDR,Sales,1,6,1,5,1,215,0,399,-228.0,-234.0
Nurturing,Event,005RNwgHWbHSrrlfhq,BDR,Sales,1,4,1,3,1,1086,1,-539,-317.0,-321.0
Nurturing,Outbound,005lWDDSfm41preSiA,SDR,Sales,1,4,1,3,0,569,0,1082,205.0,200.0
Nurturing,Web,005DJJzk8TFPHjwamm,BDR,Sales,1,2,0,2,1,990,0,545,-225.0,-246.0
Open,Partner Referral,005rfIoTPQqJtbyYEc,SDR,Sales,1,1,1,0,0,1273,1,-133,-75.0,-103.0
Nurturing,Event,005FW7cpQveNM0iR7j,SDR,Sales,1,3,2,1,2,864,1,477,-3.0,-33.0
Qualified,Web,005Zig763saiCy9Xs5,BDR,Sales,1,2,2,0,1,1000,1,579,-363.0,-391.0
Qualified,Outbound,005aV0dZauGUbUqQX9,SDR,Sales,1,3,1,2,1,158,0,70,125.0,112.0
Nurturing,Trade Show,005kGz3iLXUMdHQq3f,SDR,Sales,1,11,6,5,5,1166,0,-170,-1160.0,-1188.0
Working,Partner Referral,005sW3tnobKnIyN0Nz,SDR,Sales,1,3,1,2,0,418,1,-381,174.0,153.0
Open,Outbound,005dEsDKcaedNVmJU3,SDR,Sales,1,7,6,1,2,624,0,763,-605.0,-610.0
Qualified,Web,005SW3xD3pVRHzXb4Z,SDR,Sales,1,2,1,1,0,28,1,1410,215.0,192.0
Nurturing,Inbound,005JwwpEL8xofdwkwl,SDR,Sales,1,4,3,1,1,964,0,-129,-974.0,-980.0
Qualified,Web,00566La41L76C1ZyfL,SDR,Sales,1,2,0,2,0,712,0,737,-622.0,-642.0
Qualified,Trade Show,005ZhFZ3TvVOVxKEgo,SDR,Sales,1,5,3,2,3,193,1,-44,58.0,50.0
Nurturing,Partner Referral,005A7aBOiWo1s4A8VA,BDR,Sales,1,2,2,0,0,564,1,906,-375.0,-383.0
Nurturing,Event,005Ozb2jx0nnrpjBm7,SDR,Sales,1,1,0,1,0,1299,1,-36,-897.0,-919.0
Open,Web,0056SOvFbGwot3GcKs,AE,Sales,1,3,3,0,0,1359,0,-830,-702.0,-725.0
Open,Partner Referral,0051FeBviD8WOpEx9p,SDR,Sales,1,2,2,0,0,727,1,-729,-203.0,-209.0
Open,Inbound,005rTQ0LB8Z2cjvjPG,BDR,Sales,1,4,3,1,2,86,0,776,-13.0,-35.0
Nurturing,Web,005Rc5gJ1bF86O0c4W,AE,Sales,1,3,2,1,1,108,1,-138,189.0,164.0
Open,Web,005UyDSWXbJPhakryL,BDR,Sales,1,6,3,3,2,392,1,-128,-303.0,-324.0
Working,Event,005a88RCsXNcc8P2XG,BDR,Sales,1,1,1,0,1,1295,0,25,-90.0,-107.0
Nurturing,Partner Referral,005zWOoMnQrwuxqr1I,SDR,Sales,1,5,4,1,4,743,1,459,-728.0,-757.0
Nurturing,Inbound,005U1cnD3W8AfIM0Y9,BDR,Sales,1,4,2,2,1,1371,0,-305,-1099.0,-1118.0
Nurturing,Web,005dEsDKcaedNVmJU3,SDR,Sales,1,3,2,1,0,525,0,862,-484.0,-500.0
Open,Event,005PuqoGxlvwVICWiV,BDR,Sales,1,2,0,2,0,59,0,1523,472.0,455.0
Working,Event,005XY8kCmJrc8XXcwE,BDR,Sales,1,5,2,3,1,738,1,353,-691.0,-704.0
Qualified,Partner Referral,005FW7cpQveNM0iR7j,SDR,Sales,1,2,2,0,1,1153,1,188,-617.0,-644.0
Qualified,Web,005hrcAAsV0H3bsIeE,SDR,Sales,1,2,2,0,0,420,0,-36,-6.0,-25.0
Qualified,Inbound,005BLRswT6VWAL3Jkq,BDR,Sales,1,1,0,1,1,730,1,6,540.0,514.0
Open,Partner Referral,005lWDDSfm41preSiA,SDR,Sales,1,8,5,3,2,750,0,901,-674.0,-699.0
Nurturing,Partner Referral,005NhmgMvZSpDy5y9P,BDR,Sales,1,3,3,0,0,995,0,-66,-650.0,-653.0
Qualified,Inbound,005IAWyyPlUBLQDIva,SDR,Sales,1,7,5,2,3,251,0,742,-183.0,-195.0
Nurturing,Event,005oNQqFKPLjEKAacs,SDR,Sales,1,4,3,1,0,121,1,1011,161.0,156.0
Qualified,Outbound,005scUETCztHB2VpGr,SDR,Sales,1,7,2,5,0,313,0,1241,-203.0,-232.0
Open,Web,005U1SVjkIk2fyV5rw,SDR,Sales,1,3,0,3,1,396,0,-381,11.0,-1.0
Nurturing,Event,00536VT96AN7M9vHvw,BDR,Sales,1,5,0,5,1,1110,1,-214,-948.0,-961.0
Open,Trade Show,005dEsDKcaedNVmJU3,SDR,Sales,1,3,1,2,1,1124,0,263,-127.0,-140.0
Open,Event,005VLfsfX7zhRzFubF,SDR,Sales,1,3,2,1,1,1007,1,-210,43.0,21.0
Qualified,Web,005RpFPjmmumSx8sB2,AE,Sales,1,5,1,4,3,1177,1,473,-1083.0,-1096.0
Nurturing,Outbound,005Ho68SXnOO9IeJdv,AE,Sales,1,5,5,0,2,1131,1,25,-994.0,-995.0
Nurturing,Inbound,005aHiW9xNcTdQ2HFK,AE,Sales,1,6,4,2,3,644,1,925,-626.0,-645.0
Qualified,Web,005CS61es1IwtecnA5,SDR,Sales,1,3,2,1,0,1426,0,-1348,-1109.0,-1132.0
Qualified,Event,005iSUGFUqSTcmtbKs,SDR,Sales,1,2,1,1,0,1282,1,-457,-294.0,-320.0
Nurturing,Inbound,005iSUGFUqSTcmtbKs,SDR,Sales,1,2,0,2,0,588,1,237,694.0,664.0
Qualified,Partner Referral,005Fg6NzJiUZlow1pr,BDR,Sales,1,6,4,2,4,27,1,1206,313.0,303.0
Nurturing,Inbound,0052yGgxi1v4hCqV4x,SDR,Sales,1,5,2,3,2,567,1,614,-261.0,-278.0
Working,Event,005OHuMUHvi8wsLMNv,SDR,Sales,1,2,2,0,1,1029,0,-122,-586.0,-595.0
Qualified,Inbound,0059wV9ybGAGQOgvhj,BDR,Sales,1,5,3,2,0,895,0,209,-293.0,-319.0
Nurturing,Partner Referral,005Ozb2jx0nnrpjBm7,SDR,Sales,1,4,3,1,2,196,0,1067,-77.0,-86.0
Working,Web,005oTniFgpKl8lJKqn,AE,Sales,1,4,1,3,1,1051,1,340,-212.0,-221.0
Open,Partner Referral,005dKuyWKIuifL64ip,BDR,Sales,1,7,3,4,4,947,1,-911,-911.0,-925.0
Working,Partner Referral,005EhkAnpKcWuNovJ6,BDR,Sales,1,8,5,3,0,1075,1,-316,-1022.0,-1035.0
Nurturing,Inbound,005lWDDSfm41preSiA,SDR,Sales,1,3,0,3,0,517,0,1134,-475.0,-497.0
Working,Event,00536VT96AN7M9vHvw,BDR,Sales,1,4,3,1,1,226,0,670,277.0,249.0
Working,Outbound,005GkgNJqeO2GW2jXH,SDR,Sales,1,3,2,1,0,177,1,1300,314.0,308.0
Qualified,Trade Show,005dEsDKcaedNVmJU3,SDR,Sales,1,7,3,4,2,1224,1,163,-1212.0,-1232.0
Working,Event,005FlqJ6WT9psqZImt,AE,Sales,1,3,1,2,1,597,1,-508,595.0,590.0
Working,Trade Show,005uJa3pJEeyQVnsZp,BDR,Sales,1,10,3,7,0,1269,0,-1189,-1235.0,-1251.0
Working,Event,005ygjBY3eCoYXQvBW,SDR,Sales,1,3,2,1,0,1333,0,197,-1306.0,-1333.0
Working,Inbound,005ZRAk3rxvD6mvf15,BDR,Sales,1,2,1,1,1,214,1,288,740.0,712.0
Nurturing,Partner Referral,005Xq8vs8ialvuJ4ap,SDR,Sales,1,5,4,1,1,1267,0,-1149,-1230.0,-1239.0
Open,Web,005zWOoMnQrwuxqr1I,SDR,Sales,1,1,1,0,0,1247,1,-45,-934.0,-938.0
Qualified,Web,005O8TxStNstfUeWj7,BDR,Sales,1,4,2,2,1,45,0,1499,401.0,385.0
Nurturing,Outbound,005XY6JL792Cjz6tvp,BDR,Sales,1,3,2,1,2,20,1,754,399.0,378.0
Qualified,Web,005FW7cpQveNM0iR7j,SDR,Sales,1,4,1,3,1,780,1,561,51.0,44.0
Qualified,Inbound,005EF1FFbGvvXzIjDl,SDR,Sales,1,4,2,2,1,253,1,813,511.0,503.0
Nurturing,Web,005IAWyyPlUBLQDIva,SDR,Sales,1,4,3,1,0,516,0,477,-483.0,-489.0
Nurturing,Trade Show,005mYnZlHWW2dnL0rt,BDR,Sales,1,4,1,3,1,1364,1,191,-1143.0,-1161.0
Nurturing,Event,005SHkriY5Z0W9xzJS,BDR,Sales,1,4,3,1,1,1131,1,-1129,-1113.0,-1129.0
Qualified,Partner Referral,0052vuTGNhPaf9DJtR,SDR,Sales,1,3,1,2,2,152,1,-46,-8.0,-32.0
Working,Web,005RYrmmC3EMzwluqj,BDR,Sales,1,3,2,1,2,1014,1,-654,-668.0,-677.0
Working,Inbound,005O8TxStNstfUeWj7,BDR,Sales,1,4,4,0,2,628,0,916,-476.0,-493.0
Working,Partner Referral,005CS61es1IwtecnA5,SDR,Sales,1,5,2,3,0,1098,0,-1020,-969.0,-999.0
Open,Event,005Fg6NzJiUZlow1pr,BDR,Sales,1,5,1,4,2,284,0,949,-275.0,-280.0
Open,Web,005aV0dZauGUbUqQX9,SDR,Sales,1,3,1,2,1,359,1,-131,94.0,88.0
Nurturing,Trade Show,005nz6ixedb0ulRU2P,BDR,Sales,1,4,2,2,2,7,1,1610,449.0,447.0
Nurturing,Partner Referral,005IgSO06ukUkmxr0U,BDR,Sales,1,5,3,2,3,353,1,48,15.0,13.0
Open,Web,005UyDSWXbJPhakryL,BDR,Sales,1,1,1,0,1,71,0,193,626.0,612.0
Qualified,Web,005a88RCsXNcc8P2XG,BDR,Sales,1,6,3,3,1,987,0,333,-791.0,-798.0
Nurturing,Web,005gYdlj9yv5Cc6zkp,BDR,Sales,1,3,0,3,2,871,0,-570,-503.0,-526.0
Qualified,Outbound,005hrcAAsV0H3bsIeE,SDR,Sales,1,7,4,3,4,362,0,22,364.0,336.0
Qualified,Web,005rTQ0LB8Z2cjvjPG,BDR,Sales,1,4,2,2,1,1125,1,-263,-733.0,-755.0
Qualified,Web,005FA8TcXwRGIFLbcj,SDR,Sales,1,1,0,1,0,31,1,1021,328.0,325.0
Nurturing,Partner Referral,005zWOoMnQrwuxqr1I,SDR,Sales,1,0,0,0,0,1281,1,-79,,
Nurturing,Outbound,0055zd5SriKEc8WlTo,SDR,Sales,1,2,1,1,0,473,0,311,-216.0,-227.0
Qualified,Web,0055zd5SriKEc8WlTo,SDR,Sales,1,4,3,1,0,775,0,9,-387.0,-415.0
Open,Outbound,005Fg6NzJiUZlow1pr,BDR,Sales,1,5,2,3,1,68,0,1165,-60.0,-83.0
Nurturing,Partner Referral,005COStSs3dErO7Qyy,AE,Sales,1,2,1,1,1,609,1,587,338.0,329.0
Nurturing,Partner Referral,005DS8Y3naP935K0U7,BDR,Sales,1,4,3,1,2,749,0,350,-520.0,-544.0
Open,Partner Referral,005ZhFZ3TvVOVxKEgo,SDR,Sales,1,2,2,0,0,1248,0,-1099,-490.0,-493.0
Nurturing,Partner Referral,005M5xWWu90p0JPGJQ,BDR,Sales,1,5,3,2,1,1332,1,-1012,-1250.0,-1253.0
Nurturing,Inbound,005YJKL1sxnz5KucCa,SDR,Sales,1,6,0,6,0,214,1,448,-147.0,-169.0
Working,Partner Referral,005FA8TcXwRGIFLbcj,SDR,Sales,1,4,1,3,3,751,0,301,-480.0,-498.0
Working,Event,005JwwpEL8xofdwkwl,SDR,Sales,1,2,0,2,2,879,0,-44,-567.0,-574.0
Nurturing,Inbound,005r8kcdxSxYgha9K0,SDR,Sales,1,2,1,1,2,602,0,-278,-299.0,-303.0
Nurturing,Trade Show,0055pWDZRM9H820dFq,SDR,Sales,1,3,3,0,2,1454,1,-1104,-1007.0,-1025.0
Working,Event,005mzHykyCWibqXEgp,BDR,Sales,1,3,2,1,3,641,1,-27,5.0,-16.0
Open,Trade Show,005OHuMUHvi8wsLMNv,SDR,Sales,1,4,4,0,2,435,1,472,-402.0,-416.0
Open,Web,005KXIvx3Ru4Hx5BVz,SDR,Sales,1,3,2,1,1,1309,0,-514,-1227.0,-1233.0
Qualified,Inbound,005FmC4bvUmQBFO9r1,BDR,Sales,1,4,1,3,1,1116,1,562,-579.0,-588.0
Qualified,Outbound,005DleKhounx1YJ0rP,BDR,Sales,1,6,2,4,0,1231,1,-1251,-881.0,-909.0
Working,Partner Referral,00569YZ8tMEls1oPGs,SDR,Sales,1,6,2,4,3,204,0,1294,-128.0,-141.0
Nurturing,Trade Show,005GkgNJqeO2GW2jXH,SDR,Sales,1,4,3,1,1,54,0,1423,-26.0,-29.0
Working,Inbound,005lECbWsEiD75E7eC,SDR,Sales,1,3,2,1,1,690,0,-187,-648.0,-662.0
Qualified,Web,005YgcwjR0nrnHIGZX,SDR,Sales,1,3,3,0,0,160,1,1383,-158.0,-170.0
Nurturing,Outbound,005U2hcHrNtlfF5gcz,BDR,Sales,1,3,1,2,1,1086,1,-1057,-697.0,-711.0
Qualified,Event,00512E80qDwAaI1oOE,SDR,Sales,1,0,0,0,0,1128,1,236,,
Working,Partner Referral,005qf3JcieWVjwiYd7,BDR,Sales,1,2,2,0,1,532,0,43,-297.0,-325.0
Open,Partner Referral,005PkYO2xaCUvet6zY,SDR,Sales,1,3,2,1,0,135,1,571,166.0,142.0
Working,Trade Show,005lwhmSG1MSOXLTAt,SDR,Sales,1,4,1,3,3,1330,1,-321,-1214.0,-1225.0
Qualified,Partner Referral,005FA8TcXwRGIFLbcj,SDR,Sales,1,2,2,0,2,927,1,125,-137.0,-163.0
Working,Web,005HAD1xOIM0ZXro8p,SDR,Sales,1,2,0,2,1,899,1,-811,-833.0,-835.0
Nurturing,Event,0053QDpe3Xj7Gt2h2H,BDR,Sales,1,4,2,2,2,1408,0,-909,-1342.0,-1372.0
Open,Inbound,005KXIvx3Ru4Hx5BVz,SDR,Sales,1,6,4,2,1,187,0,608,-203.0,-212.0
Qualified,Outbound,005RYrmmC3EMzwluqj,BDR,Sales,1,4,2,2,1,981,0,-621,-679.0,-680.0
Nurturing,Event,005RNwgHWbHSrrlfhq,BDR,Sales,1,1,1,0,1,756,0,-209,-308.0,-333.0
Nurturing,Inbound,005eP2OT2tJzd6Dja9,BDR,Sales,1,3,3,0,1,235,1,534,510.0,499.0
Open,Event,005zQVR4ms4RjAh8MF,BDR,Sales,1,2,1,1,1,775,0,-365,-117.0,-135.0
Nurturing,Inbound,005NhmgMvZSpDy5y9P,BDR,Sales,1,2,1,1,0,1092,0,-163,-741.0,-744.0
Working,Partner Referral,005rfIoTPQqJtbyYEc,SDR,Sales,1,5,1,4,3,808,0,332,-707.0,-722.0
Qualified,Outbound,005chtXE6kHD1j5gMk,BDR,Sales,1,5,3,2,1,1069,1,-54,-659.0,-683.0
Working,Web,005CyM4CU7TgZ0ieQC,BDR,Sales,1,2,0,2,1,57,1,1401,199.0,190.0
Working,Inbound,005bo0fFeWaVUqG2KV,SDR,Sales,1,3,3,0,0,956,0,-197,-494.0,-513.0
Open,Outbound,005U1cnD3W8AfIM0Y9,BDR,Sales,1,4,3,1,0,709,0,357,-282.0,-284.0
Open,Web,005T3CcQW30Fc3HxzP,BDR,Sales,1,2,1,1,2,828,1,-483,-835.0,-841.0
Qualified,Trade Show,005T3CcQW30Fc3HxzP,BDR,Sales,1,2,2,0,1,1164,1,-819,-546.0,-551.0
Nurturing,Trade Show,005uJa3pJEeyQVnsZp,BDR,Sales,1,5,2,3,2,81,0,-1,90.0,78.0
Nurturing,Partner Referral,005bZBvn4MclbYAtNN,SDR,Sales,1,6,5,1,1,1029,0,-543,-496.0,-524.0
Open,Event,0053QDpe3Xj7Gt2h2H,BDR,Sales,1,1,1,0,0,1267,1,-768,-778.0,-781.0
Nurturing,Partner Referral,005SHkriY5Z0W9xzJS,BDR,Sales,1,5,1,4,1,52,1,-50,-49.0,-73.0
Qualified,Inbound,005g4fdGzuew1U6NXU,SDR,Sales,1,2,0,2,0,926,0,-163,-700.0,-702.0
Open,Event,005Ho68SXnOO9IeJdv,AE,Sales,1,6,3,3,1,10,1,1146,181.0,162.0
Open,Partner Referral,0058Bwr0RkCwwLehpc,BDR,Sales,1,3,1,2,1,469,1,16,-418.0,-432.0
Nurturing,Partner Referral,0052yGgxi1v4hCqV4x,SDR,Sales,1,1,1,0,0,1351,1,-170,-999.0,-1026.0
