status,lead_source,owner_role,owner_department,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,lead_is_converted
Qualified,Web,BDR,Sales,3,2,1,0,959,672,-714.0,-731.0,0
Open,Partner Referral,AE,Sales,2,1,1,0,76,613,-1.0,-18.0,0
Qualified,Partner Referral,SDR,Sales,6,3,3,2,449,294,-132.0,-156.0,1
Nurturing,Web,BDR,Sales,5,4,1,1,537,222,-430.0,-458.0,1
Open,Event,AE,Sales,2,2,0,2,951,-800,-741.0,-767.0,1
Open,Event,SDR,Sales,10,8,2,4,1368,-1290,-1353.0,-1364.0,1
Nurturing,Outbound,BDR,Sales,2,0,2,0,1439,-875,-739.0,-757.0,1
Open,Inbound,BDR,Sales,4,1,3,2,661,-659,201.0,177.0,0
Qualified,Event,SDR,Sales,3,0,3,0,1085,-379,-47.0,-58.0,1
Working,Partner Referral,SDR,Sales,2,2,0,0,971,25,-389.0,-408.0,1
Open,Web,SDR,Sales,3,1,2,1,485,-160,47.0,33.0,0
Working,Outbound,AE,Sales,2,1,1,2,123,1204,1177.0,1147.0,1
Qualified,Inbound,BDR,Sales,5,1,4,0,1294,261,-1282.0,-1296.0,0
Nurturing,Inbound,SDR,Sales,2,2,0,0,333,1073,46.0,38.0,0
Working,Web,SDR,Sales,6,4,2,3,1315,228,-1298.0,-1300.0,1
Qualified,Outbound,AE,Sales,3,2,1,2,484,-411,-276.0,-300.0,0
Working,Web,BDR,Sales,4,0,4,2,1026,-412,-1047.0,-1056.0,1
Qualified,Trade Show,SDR,Sales,4,2,2,2,826,-738,-693.0,-721.0,1
Qualified,Web,BDR,Sales,0,0,0,0,371,980,,,0
Working,Event,AE,Sales,3,0,3,1,398,89,421.0,416.0,1
Working,Web,BDR,Sales,1,1,0,0,405,361,-264.0,-273.0,0
Working,Web,BDR,Sales,5,3,2,3,1419,-1005,-1412.0,-1436.0,0
Nurturing,Event,BDR,Sales,1,1,0,1,932,-163,199.0,174.0,0
Working,Outbound,BDR,Sales,4,2,2,1,288,574,-98.0,-118.0,0
Nurturing,Web,SDR,Sales,7,5,2,2,1398,-332,-1233.0,-1257.0,1
Qualified,Trade Show,SDR,Sales,4,3,1,0,241,554,440.0,435.0,1
Open,Inbound,SDR,Sales,1,1,0,0,1329,-1316,-968.0,-991.0,0
Nurturing,Trade Show,BDR,Sales,5,2,3,3,1047,304,-888.0,-896.0,1
Working,Inbound,SDR,Sales,0,0,0,0,303,878,,,0
Nurturing,Outbound,SDR,Sales,5,3,2,0,1125,-800,-858.0,-882.0,1
Nurturing,Inbound,BDR,Sales,4,4,0,1,91,1491,-26.0,-46.0,1
Working,Web,SDR,Sales,8,3,5,4,501,649,-394.0,-398.0,0
Qualified,Partner Referral,SDR,Sales,2,2,0,1,138,-50,-62.0,-76.0,0
Open,Outbound,BDR,Sales,3,3,0,1,396,597,87.0,76.0,1
Working,Inbound,BDR,Sales,4,3,1,0,849,-235,427.0,425.0,1
Qualified,Outbound,BDR,Sales,4,3,1,0,496,608,-369.0,-392.0,0
Open,Inbound,BDR,Sales,2,1,1,0,119,483,1130.0,1105.0,0
Nurturing,Event,BDR,Sales,2,2,0,0,1061,-577,-666.0,-689.0,0
Qualified,Event,BDR,Sales,2,2,0,1,58,714,668.0,641.0,1
Qualified,Outbound,SDR,Sales,3,1,2,1,13,24,82.0,79.0,1
Nurturing,Outbound,SDR,Sales,4,1,3,1,1251,-901,-646.0,-663.0,1
Nurturing,Web,SDR,Sales,5,4,1,0,1411,-1262,-888.0,-897.0,1
Working,Event,SDR,Sales,7,3,4,3,536,248,-425.0,-453.0,1
Working,Web,BDR,Sales,1,0,1,1,350,1094,0.0,-30.0,0
Working,Inbound,BDR,Sales,2,0,2,0,1050,420,-1037.0,-1040.0,0
Qualified,Trade Show,BDR,Sales,0,0,0,0,641,-227,,,1
Open,Event,BDR,Sales,1,0,1,0,1363,-761,-1309.0,-1317.0,1
Working,Event,SDR,Sales,3,2,1,1,1090,-765,-904.0,-927.0,0
Nurturing,Web,BDR,Sales,4,1,3,1,572,-536,263.0,245.0,1
Qualified,Partner Referral,SDR,Sales,5,4,1,3,508,327,-129.0,-133.0,0
Open,Trade Show,BDR,Sales,6,1,5,1,215,399,-228.0,-234.0,0
Nurturing,Event,BDR,Sales,4,1,3,1,1086,-539,-317.0,-321.0,1
Nurturing,Outbound,SDR,Sales,4,1,3,0,569,1082,205.0,200.0,0
Nurturing,Web,BDR,Sales,2,0,2,1,990,545,-225.0,-246.0,0
Open,Partner Referral,SDR,Sales,1,1,0,0,1273,-133,-75.0,-103.0,1
Nurturing,Event,SDR,Sales,3,2,1,2,864,477,-3.0,-33.0,1
Qualified,Web,BDR,Sales,2,2,0,1,1000,579,-363.0,-391.0,1
Qualified,Outbound,SDR,Sales,3,1,2,1,158,70,125.0,112.0,0
Nurturing,Trade Show,SDR,Sales,11,6,5,5,1166,-170,-1160.0,-1188.0,0
Working,Partner Referral,SDR,Sales,3,1,2,0,418,-381,174.0,153.0,1
Open,Outbound,SDR,Sales,7,6,1,2,624,763,-605.0,-610.0,0
Qualified,Web,SDR,Sales,2,1,1,0,28,1410,215.0,192.0,1
Nurturing,Inbound,SDR,Sales,4,3,1,1,964,-129,-974.0,-980.0,0
Qualified,Web,SDR,Sales,2,0,2,0,712,737,-622.0,-642.0,0
Qualified,Trade Show,SDR,Sales,5,3,2,3,193,-44,58.0,50.0,1
Nurturing,Partner Referral,BDR,Sales,2,2,0,0,564,906,-375.0,-383.0,1
Nurturing,Event,SDR,Sales,1,0,1,0,1299,-36,-897.0,-919.0,1
Open,Web,AE,Sales,3,3,0,0,1359,-830,-702.0,-725.0,0
Open,Partner Referral,SDR,Sales,2,2,0,0,727,-729,-203.0,-209.0,1
Open,Inbound,BDR,Sales,4,3,1,2,86,776,-13.0,-35.0,0
Nurturing,Web,AE,Sales,3,2,1,1,108,-138,189.0,164.0,1
Open,Web,BDR,Sales,6,3,3,2,392,-128,-303.0,-324.0,1
Working,Event,BDR,Sales,1,1,0,1,1295,25,-90.0,-107.0,0
Nurturing,Partner Referral,SDR,Sales,5,4,1,4,743,459,-728.0,-757.0,1
Nurturing,Inbound,BDR,Sales,4,2,2,1,1371,-305,-1099.0,-1118.0,0
Nurturing,Web,SDR,Sales,3,2,1,0,525,862,-484.0,-500.0,0
Open,Event,BDR,Sales,2,0,2,0,59,1523,472.0,455.0,0
Working,Event,BDR,Sales,5,2,3,1,738,353,-691.0,-704.0,1
Qualified,Partner Referral,SDR,Sales,2,2,0,1,1153,188,-617.0,-644.0,1
Qualified,Web,SDR,Sales,2,2,0,0,420,-36,-6.0,-25.0,0
Qualified,Inbound,BDR,Sales,1,0,1,1,730,6,540.0,514.0,1
Open,Partner Referral,SDR,Sales,8,5,3,2,750,901,-674.0,-699.0,0
Nurturing,Partner Referral,BDR,Sales,3,3,0,0,995,-66,-650.0,-653.0,0
Qualified,Inbound,SDR,Sales,7,5,2,3,251,742,-183.0,-195.0,0
Nurturing,Event,SDR,Sales,4,3,1,0,121,1011,161.0,156.0,1
Qualified,Outbound,SDR,Sales,7,2,5,0,313,1241,-203.0,-232.0,0
Open,Web,SDR,Sales,3,0,3,1,396,-381,11.0,-1.0,0
Nurturing,Event,BDR,Sales,5,0,5,1,1110,-214,-948.0,-961.0,1
Open,Trade Show,SDR,Sales,3,1,2,1,1124,263,-127.0,-140.0,0
Open,Event,SDR,Sales,3,2,1,1,1007,-210,43.0,21.0,1
Qualified,Web,AE,Sales,5,1,4,3,1177,473,-1083.0,-1096.0,1
Nurturing,Outbound,AE,Sales,5,5,0,2,1131,25,-994.0,-995.0,1
Nurturing,Inbound,AE,Sales,6,4,2,3,644,925,-626.0,-645.0,1
Qualified,Web,SDR,Sales,3,2,1,0,1426,-1348,-1109.0,-1132.0,0
Qualified,Event,SDR,Sales,2,1,1,0,1282,-457,-294.0,-320.0,1
Nurturing,Inbound,SDR,Sales,2,0,2,0,588,237,694.0,664.0,1
Qualified,Partner Referral,BDR,Sales,6,4,2,4,27,1206,313.0,303.0,1
Nurturing,Inbound,SDR,Sales,5,2,3,2,567,614,-261.0,-278.0,1
Working,Event,SDR,Sales,2,2,0,1,1029,-122,-586.0,-595.0,0
Qualified,Inbound,BDR,Sales,5,3,2,0,895,209,-293.0,-319.0,0
Nurturing,Partner Referral,SDR,Sales,4,3,1,2,196,1067,-77.0,-86.0,0
Working,Web,AE,Sales,4,1,3,1,1051,340,-212.0,-221.0,1
Open,Partner Referral,BDR,Sales,7,3,4,4,947,-911,-911.0,-925.0,1
Working,Partner Referral,BDR,Sales,8,5,3,0,1075,-316,-1022.0,-1035.0,1
Nurturing,Inbound,SDR,Sales,3,0,3,0,517,1134,-475.0,-497.0,0
Working,Event,BDR,Sales,4,3,1,1,226,670,277.0,249.0,0
Working,Outbound,SDR,Sales,3,2,1,0,177,1300,314.0,308.0,1
Qualified,Trade Show,SDR,Sales,7,3,4,2,1224,163,-1212.0,-1232.0,1
Working,Event,AE,Sales,3,1,2,1,597,-508,595.0,590.0,1
Working,Trade Show,BDR,Sales,10,3,7,0,1269,-1189,-1235.0,-1251.0,0
Working,Event,SDR,Sales,3,2,1,0,1333,197,-1306.0,-1333.0,0
Working,Inbound,BDR,Sales,2,1,1,1,214,288,740.0,712.0,1
Nurturing,Partner Referral,SDR,Sales,5,4,1,1,1267,-1149,-1230.0,-1239.0,0
Open,Web,SDR,Sales,1,1,0,0,1247,-45,-934.0,-938.0,1
Qualified,Web,BDR,Sales,4,2,2,1,45,1499,401.0,385.0,0
Nurturing,Outbound,BDR,Sales,3,2,1,2,20,754,399.0,378.0,1
Qualified,Web,SDR,Sales,4,1,3,1,780,561,51.0,44.0,1
Qualified,Inbound,SDR,Sales,4,2,2,1,253,813,511.0,503.0,1
Nurturing,Web,SDR,Sales,4,3,1,0,516,477,-483.0,-489.0,0
Nurturing,Trade Show,BDR,Sales,4,1,3,1,1364,191,-1143.0,-1161.0,1
Nurturing,Event,BDR,Sales,4,3,1,1,1131,-1129,-1113.0,-1129.0,1
Qualified,Partner Referral,SDR,Sales,3,1,2,2,152,-46,-8.0,-32.0,1
Working,Web,BDR,Sales,3,2,1,2,1014,-654,-668.0,-677.0,1
Working,Inbound,BDR,Sales,4,4,0,2,628,916,-476.0,-493.0,0
Working,Partner Referral,SDR,Sales,5,2,3,0,1098,-1020,-969.0,-999.0,0
Open,Event,BDR,Sales,5,1,4,2,284,949,-275.0,-280.0,0
Open,Web,SDR,Sales,3,1,2,1,359,-131,94.0,88.0,1
Nurturing,Trade Show,BDR,Sales,4,2,2,2,7,1610,449.0,447.0,1
Nurturing,Partner Referral,BDR,Sales,5,3,2,3,353,48,15.0,13.0,1
Open,Web,BDR,Sales,1,1,0,1,71,193,626.0,612.0,0
Qualified,Web,BDR,Sales,6,3,3,1,987,333,-791.0,-798.0,0
Nurturing,Web,BDR,Sales,3,0,3,2,871,-570,-503.0,-526.0,0
Qualified,Outbound,SDR,Sales,7,4,3,4,362,22,364.0,336.0,0
Qualified,Web,BDR,Sales,4,2,2,1,1125,-263,-733.0,-755.0,1
Qualified,Web,SDR,Sales,1,0,1,0,31,1021,328.0,325.0,1
Nurturing,Partner Referral,SDR,Sales,0,0,0,0,1281,-79,,,1
Nurturing,Outbound,SDR,Sales,2,1,1,0,473,311,-216.0,-227.0,0
Qualified,Web,SDR,Sales,4,3,1,0,775,9,-387.0,-415.0,0
Open,Outbound,BDR,Sales,5,2,3,1,68,1165,-60.0,-83.0,0
Nurturing,Partner Referral,AE,Sales,2,1,1,1,609,587,338.0,329.0,1
Nurturing,Partner Referral,BDR,Sales,4,3,1,2,749,350,-520.0,-544.0,0
Open,Partner Referral,SDR,Sales,2,2,0,0,1248,-1099,-490.0,-493.0,0
Nurturing,Partner Referral,BDR,Sales,5,3,2,1,1332,-1012,-1250.0,-1253.0,1
Nurturing,Inbound,SDR,Sales,6,0,6,0,214,448,-147.0,-169.0,1
Working,Partner Referral,SDR,Sales,4,1,3,3,751,301,-480.0,-498.0,0
Working,Event,SDR,Sales,2,0,2,2,879,-44,-567.0,-574.0,0
Nurturing,Inbound,SDR,Sales,2,1,1,2,602,-278,-299.0,-303.0,0
Nurturing,Trade Show,SDR,Sales,3,3,0,2,1454,-1104,-1007.0,-1025.0,1
Working,Event,BDR,Sales,3,2,1,3,641,-27,5.0,-16.0,1
Open,Trade Show,SDR,Sales,4,4,0,2,435,472,-402.0,-416.0,1
Open,Web,SDR,Sales,3,2,1,1,1309,-514,-1227.0,-1233.0,0
Qualified,Inbound,BDR,Sales,4,1,3,1,1116,562,-579.0,-588.0,1
Qualified,Outbound,BDR,Sales,6,2,4,0,1231,-1251,-881.0,-909.0,1
Working,Partner Referral,SDR,Sales,6,2,4,3,204,1294,-128.0,-141.0,0
Nurturing,Trade Show,SDR,Sales,4,3,1,1,54,1423,-26.0,-29.0,0
Working,Inbound,SDR,Sales,3,2,1,1,690,-187,-648.0,-662.0,0
Qualified,Web,SDR,Sales,3,3,0,0,160,1383,-158.0,-170.0,1
Nurturing,Outbound,BDR,Sales,3,1,2,1,1086,-1057,-697.0,-711.0,1
Qualified,Event,SDR,Sales,0,0,0,0,1128,236,,,1
Working,Partner Referral,BDR,Sales,2,2,0,1,532,43,-297.0,-325.0,0
Open,Partner Referral,SDR,Sales,3,2,1,0,135,571,166.0,142.0,1
Working,Trade Show,SDR,Sales,4,1,3,3,1330,-321,-1214.0,-1225.0,1
Qualified,Partner Referral,SDR,Sales,2,2,0,2,927,125,-137.0,-163.0,1
Working,Web,SDR,Sales,2,0,2,1,899,-811,-833.0,-835.0,1
Nurturing,Event,BDR,Sales,4,2,2,2,1408,-909,-1342.0,-1372.0,0
Open,Inbound,SDR,Sales,6,4,2,1,187,608,-203.0,-212.0,0
Qualified,Outbound,BDR,Sales,4,2,2,1,981,-621,-679.0,-680.0,0
Nurturing,Event,BDR,Sales,1,1,0,1,756,-209,-308.0,-333.0,0
Nurturing,Inbound,BDR,Sales,3,3,0,1,235,534,510.0,499.0,1
Open,Event,BDR,Sales,2,1,1,1,775,-365,-117.0,-135.0,0
Nurturing,Inbound,BDR,Sales,2,1,1,0,1092,-163,-741.0,-744.0,0
Working,Partner Referral,SDR,Sales,5,1,4,3,808,332,-707.0,-722.0,0
Qualified,Outbound,BDR,Sales,5,3,2,1,1069,-54,-659.0,-683.0,1
Working,Web,BDR,Sales,2,0,2,1,57,1401,199.0,190.0,1
Working,Inbound,SDR,Sales,3,3,0,0,956,-197,-494.0,-513.0,0
Open,Outbound,BDR,Sales,4,3,1,0,709,357,-282.0,-284.0,0
Open,Web,BDR,Sales,2,1,1,2,828,-483,-835.0,-841.0,1
Qualified,Trade Show,BDR,Sales,2,2,0,1,1164,-819,-546.0,-551.0,1
Nurturing,Trade Show,BDR,Sales,5,2,3,2,81,-1,90.0,78.0,0
Nurturing,Partner Referral,SDR,Sales,6,5,1,1,1029,-543,-496.0,-524.0,0
Open,Event,BDR,Sales,1,1,0,0,1267,-768,-778.0,-781.0,1
Nurturing,Partner Referral,BDR,Sales,5,1,4,1,52,-50,-49.0,-73.0,1
Qualified,Inbound,SDR,Sales,2,0,2,0,926,-163,-700.0,-702.0,0
Open,Event,AE,Sales,6,3,3,1,10,1146,181.0,162.0,1
Open,Partner Referral,BDR,Sales,3,1,2,1,469,16,-418.0,-432.0,1
Nurturing,Partner Referral,SDR,Sales,1,1,0,0,1351,-170,-999.0,-1026.0,1
Working,Event,SDR,Sales,1,0,1,1,1108,-99,200.0,187.0,0
Open,Inbound,BDR,Sales,6,1,5,3,327,-212,262.0,241.0,0
Nurturing,Trade Show,AE,Sales,6,3,3,3,876,269,-282.0,-307.0,1
Nurturing,Partner Referral,BDR,Sales,1,1,0,0,1003,-923,-463.0,-466.0,0
Open,Event,SDR,Sales,5,3,2,0,347,396,324.0,294.0,1
Working,Inbound,BDR,Sales,2,0,2,1,359,-244,-385.0,-388.0,0
Qualified,Web,BDR,Sales,4,1,3,2,781,-753,-754.0,-762.0,0
Working,Trade Show,BDR,Sales,4,3,1,0,511,236,-121.0,-147.0,1
Open,Trade Show,SDR,Sales,4,2,2,1,1318,-1240,-1135.0,-1157.0,1
Open,Inbound,SDR,Sales,3,2,1,0,85,3,108.0,101.0,0
Nurturing,Web,BDR,Sales,6,1,5,2,957,-473,-895.0,-897.0,0
Nurturing,Outbound,BDR,Sales,2,2,0,0,692,-173,-230.0,-247.0,1
Qualified,Partner Referral,AE,Sales,4,2,2,1,1218,-491,-1080.0,-1088.0,1
Qualified,Web,BDR,Sales,5,5,0,3,391,842,-138.0,-141.0,0
Working,Event,SDR,Sales,6,3,3,3,1149,381,-692.0,-697.0,0
Qualified,Partner Referral,AE,Sales,3,1,2,1,1206,-10,-751.0,-778.0,0
Qualified,Event,BDR,Sales,2,1,1,0,784,686,-642.0,-648.0,0
Nurturing,Trade Show,BDR,Sales,1,1,0,1,1368,-347,-721.0,-744.0,0
Working,Partner Referral,BDR,Sales,4,2,2,0,1417,-424,-1227.0,-1242.0,0
Nurturing,Partner Referral,SDR,Sales,4,4,0,0,162,-164,608.0,580.0,1
Working,Event,SDR,Sales,2,0,2,0,567,335,-153.0,-160.0,1
Qualified,Outbound,BDR,Sales,6,5,1,3,1065,-355,-961.0,-969.0,1
Open,Trade Show,SDR,Sales,2,1,1,0,1323,100,53.0,27.0,1
Nurturing,Trade Show,SDR,Sales,3,1,2,2,80,511,-63.0,-84.0,0
Nurturing,Trade Show,BDR,Sales,3,3,0,3,915,-156,-236.0,-258.0,0
Qualified,Outbound,SDR,Sales,2,0,2,1,479,183,-405.0,-429.0,0
Working,Outbound,SDR,Sales,3,2,1,0,107,599,1033.0,1018.0,0
Open,Partner Referral,SDR,Sales,2,1,1,0,868,438,99.0,82.0,1
Working,Trade Show,SDR,Sales,5,3,2,3,1097,-300,-860.0,-879.0,0
Working,Trade Show,SDR,Sales,0,0,0,0,370,696,,,1
Open,Partner Referral,SDR,Sales,2,1,1,0,350,413,607.0,591.0,1
Working,Event,AE,Sales,4,4,0,2,1035,-306,-918.0,-938.0,0
Qualified,Partner Referral,SDR,Sales,5,2,3,1,1376,-1363,-1326.0,-1334.0,1
Nurturing,Trade Show,AE,Sales,1,1,0,1,1200,-112,-707.0,-717.0,1
Qualified,Web,SDR,Sales,5,2,3,4,538,-35,-506.0,-518.0,0
Open,Inbound,AE,Sales,2,1,1,1,347,-258,-357.0,-360.0,1
Open,Inbound,SDR,Sales,0,0,0,0,754,509,,,0
Nurturing,Inbound,SDR,Sales,5,4,1,1,640,-627,-96.0,-120.0,1
Open,Partner Referral,AE,Sales,3,2,1,0,464,-375,-324.0,-336.0,1
Qualified,Inbound,SDR,Sales,5,5,0,4,233,91,-43.0,-59.0,0
Qualified,Partner Referral,SDR,Sales,2,1,1,1,84,-69,472.0,467.0,1
Working,Inbound,SDR,Sales,1,1,0,0,1183,-1065,-224.0,-239.0,0
Open,Trade Show,AE,Sales,2,1,1,0,243,278,825.0,823.0,1
Nurturing,Inbound,SDR,Sales,7,3,4,1,641,-134,-565.0,-571.0,0
Qualified,Web,SDR,Sales,2,0,2,1,500,-150,-32.0,-34.0,1
Working,Web,SDR,Sales,2,2,0,1,1072,109,-815.0,-823.0,0
Working,Outbound,BDR,Sales,4,3,1,0,75,1469,-80.0,-106.0,1
Working,Event,SDR,Sales,3,2,1,0,93,94,355.0,329.0,0
Open,Trade Show,SDR,Sales,3,2,1,1,1340,-634,-1242.0,-1256.0,0
Nurturing,Partner Referral,SDR,Sales,2,2,0,0,802,-418,-781.0,-795.0,1
Working,Event,BDR,Sales,3,1,2,1,1248,-701,-739.0,-757.0,1
Open,Inbound,SDR,Sales,3,1,2,2,159,834,450.0,437.0,1
Working,Trade Show,SDR,Sales,3,1,2,0,321,1156,-289.0,-298.0,1
Working,Event,BDR,Sales,1,0,1,0,878,665,153.0,147.0,1
Working,Trade Show,BDR,Sales,2,2,0,0,1381,-30,-1210.0,-1224.0,1
Open,Inbound,BDR,Sales,2,1,1,1,461,286,873.0,853.0,1
Open,Outbound,SDR,Sales,7,4,3,1,726,828,-612.0,-614.0,0
Nurturing,Inbound,SDR,Sales,2,0,2,0,297,365,-295.0,-307.0,1
Open,Inbound,BDR,Sales,6,2,4,3,826,88,-165.0,-167.0,1
Open,Web,SDR,Sales,2,1,1,1,690,376,178.0,151.0,1
Qualified,Outbound,BDR,Sales,3,2,1,0,1126,344,-1034.0,-1047.0,1
Working,Web,BDR,Sales,0,0,0,0,833,-432,,,0
Nurturing,Outbound,SDR,Sales,4,1,3,1,8,1587,192.0,162.0,1
Open,Trade Show,SDR,Sales,3,0,3,1,1403,-1405,-1348.0,-1355.0,0
Nurturing,Inbound,SDR,Sales,7,2,5,2,468,664,-4.0,-28.0,0
Open,Outbound,SDR,Sales,4,2,2,1,497,379,81.0,75.0,0
Open,Event,BDR,Sales,0,0,0,0,24,838,,,1
Qualified,Inbound,SDR,Sales,4,3,1,1,1443,-20,-335.0,-351.0,0
Nurturing,Web,SDR,Sales,3,1,2,3,1165,378,-1183.0,-1196.0,0
Open,Outbound,BDR,Sales,4,3,1,3,1175,-656,-428.0,-429.0,0
Working,Web,BDR,Sales,1,0,1,0,1222,11,241.0,222.0,1
Qualified,Outbound,BDR,Sales,0,0,0,0,947,144,,,0
Open,Outbound,BDR,Sales,1,0,1,1,1053,-361,-73.0,-80.0,1
Working,Event,SDR,Sales,5,4,1,2,264,886,-244.0,-266.0,0
Open,Outbound,SDR,Sales,2,1,1,1,809,-306,-408.0,-411.0,1
Nurturing,Web,BDR,Sales,3,3,0,3,987,568,-789.0,-793.0,1
Qualified,Inbound,SDR,Sales,2,1,1,0,104,1237,18.0,17.0,0
Qualified,Inbound,BDR,Sales,4,1,3,3,1126,552,-359.0,-373.0,1
Open,Partner Referral,SDR,Sales,4,0,4,0,1382,-587,-1275.0,-1279.0,1
Open,Inbound,SDR,Sales,1,1,0,0,206,1158,709.0,704.0,0
Open,Outbound,BDR,Sales,3,1,2,1,866,-452,-693.0,-714.0,0
Nurturing,Trade Show,BDR,Sales,3,1,2,0,285,1243,783.0,776.0,1
Working,Trade Show,SDR,Sales,7,2,5,1,73,1212,37.0,9.0,0
Qualified,Web,BDR,Sales,0,0,0,0,259,316,,,1
Nurturing,Web,BDR,Sales,5,2,3,3,1100,-780,-1015.0,-1026.0,1
Qualified,Inbound,SDR,Sales,3,2,1,1,833,-86,77.0,76.0,1
Qualified,Web,BDR,Sales,4,1,3,2,1416,201,-1407.0,-1431.0,1
Open,Inbound,BDR,Sales,1,0,1,0,1382,-367,-620.0,-631.0,1
Qualified,Inbound,AE,Sales,6,3,3,4,1292,129,-1246.0,-1261.0,0
Nurturing,Web,SDR,Sales,0,0,0,0,157,-118,,,0
Qualified,Outbound,SDR,Sales,4,3,1,1,677,877,-688.0,-702.0,0
Nurturing,Partner Referral,BDR,Sales,4,3,1,2,603,488,-587.0,-592.0,0
Working,Web,SDR,Sales,7,4,3,1,350,-335,-359.0,-362.0,1
Working,Inbound,BDR,Sales,6,2,4,2,1219,-226,-665.0,-671.0,0
Open,Trade Show,BDR,Sales,3,0,3,1,301,-272,67.0,53.0,0
Qualified,Inbound,BDR,Sales,2,1,1,0,216,303,426.0,423.0,1
Open,Partner Referral,SDR,Sales,3,2,1,2,1355,296,-659.0,-670.0,0
Nurturing,Partner Referral,SDR,Sales,1,1,0,1,426,321,-198.0,-216.0,0
Qualified,Trade Show,SDR,Sales,8,2,6,3,1449,-1451,-1309.0,-1320.0,1
Qualified,Event,BDR,Sales,4,2,2,1,1174,-690,-1147.0,-1174.0,1
Nurturing,Web,SDR,Sales,6,2,4,1,792,-602,-735.0,-754.0,0
Qualified,Web,SDR,Sales,3,1,2,1,153,1498,206.0,184.0,1
Working,Partner Referral,BDR,Sales,0,0,0,0,699,75,,,0
Working,Outbound,BDR,Sales,6,3,3,2,1414,-1483,-1379.0,-1382.0,0
Nurturing,Event,BDR,Sales,1,0,1,0,811,-231,-17.0,-25.0,0
Nurturing,Outbound,BDR,Sales,4,2,2,0,1139,-210,-807.0,-828.0,0
Nurturing,Inbound,BDR,Sales,7,5,2,1,761,-351,-196.0,-200.0,0
Open,Outbound,SDR,Sales,2,1,1,0,137,739,-30.0,-51.0,0
Nurturing,Event,BDR,Sales,3,0,3,1,1013,637,-489.0,-503.0,1
Qualified,Web,SDR,Sales,2,2,0,1,1298,232,-335.0,-365.0,1
Working,Outbound,BDR,Sales,2,0,2,0,1224,6,-410.0,-420.0,1
Qualified,Event,SDR,Sales,2,1,1,0,1102,-267,-886.0,-895.0,1
Open,Trade Show,SDR,Sales,5,2,3,2,343,983,-145.0,-164.0,0
Open,Event,BDR,Sales,5,1,4,3,1412,-253,-941.0,-969.0,1
Working,Event,SDR,Sales,0,0,0,0,215,-25,,,0
Nurturing,Inbound,BDR,Sales,5,2,3,2,1333,125,-1208.0,-1227.0,1
Open,Web,BDR,Sales,4,1,3,2,1027,-617,-656.0,-685.0,0
Nurturing,Web,BDR,Sales,2,1,1,0,474,704,599.0,588.0,0
Qualified,Event,BDR,Sales,2,2,0,2,827,804,-585.0,-614.0,0
Open,Inbound,BDR,Sales,3,1,2,1,258,478,154.0,153.0,1
Open,Outbound,SDR,Sales,1,1,0,0,1047,402,-922.0,-947.0,0
Open,Trade Show,BDR,Sales,3,1,2,1,335,895,-195.0,-205.0,0
Open,Trade Show,SDR,Sales,2,0,2,2,248,659,-130.0,-151.0,1
Qualified,Partner Referral,BDR,Sales,2,2,0,1,1042,265,-514.0,-522.0,0
Nurturing,Trade Show,AE,Sales,1,1,0,0,649,-352,446.0,420.0,0
Qualified,Inbound,AE,Sales,2,1,1,2,896,31,-259.0,-260.0,0
Open,Partner Referral,SDR,Sales,4,3,1,1,522,680,42.0,28.0,1
Working,Partner Referral,BDR,Sales,3,1,2,2,1183,-773,-810.0,-831.0,1
Nurturing,Trade Show,BDR,Sales,2,1,1,0,572,138,-208.0,-220.0,0
Qualified,Partner Referral,SDR,Sales,4,3,1,3,1442,-646,-1164.0,-1188.0,1
Working,Web,SDR,Sales,3,2,1,1,1231,218,-847.0,-867.0,0
Working,Web,BDR,Sales,1,1,0,0,1436,-1116,-205.0,-230.0,1
Working,Partner Referral,SDR,Sales,2,1,1,1,246,1231,-157.0,-183.0,0
Qualified,Web,SDR,Sales,2,1,1,0,1107,-205,-138.0,-165.0,0
Working,Event,SDR,Sales,4,2,2,2,283,-96,-284.0,-287.0,1
Working,Partner Referral,BDR,Sales,3,3,0,1,1254,-769,-1172.0,-1174.0,1
Qualified,Outbound,BDR,Sales,1,1,0,0,940,-539,-614.0,-625.0,0
Qualified,Event,BDR,Sales,6,5,1,5,1234,-338,-891.0,-897.0,1
Open,Inbound,SDR,Sales,2,0,2,1,724,183,-39.0,-47.0,1
Open,Web,BDR,Sales,1,0,1,0,768,583,-245.0,-252.0,0
Qualified,Inbound,BDR,Sales,1,1,0,0,1315,-816,-570.0,-573.0,0
Working,Inbound,SDR,Sales,4,2,2,0,1165,-1047,-753.0,-768.0,1
Open,Event,BDR,Sales,5,4,1,4,156,-127,-108.0,-127.0,0
Nurturing,Web,SDR,Sales,1,0,1,0,1397,-1256,-850.0,-859.0,0
Nurturing,Partner Referral,BDR,Sales,1,1,0,0,453,149,-419.0,-425.0,1
Nurturing,Outbound,BDR,Sales,4,2,2,1,1081,363,-840.0,-849.0,0
Nurturing,Inbound,SDR,Sales,8,2,6,3,1299,-397,-1273.0,-1298.0,1
Open,Partner Referral,BDR,Sales,6,2,4,1,1453,-1424,-1185.0,-1210.0,0
Working,Web,SDR,Sales,5,4,1,3,205,386,0.0,-5.0,0
