status,lead_source,lead_owner_id,owner_role,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day,task_activity_recency_score,task_created_recency_score,lead_age_bucket,task_count_bucket,lead_is_converted
Working,Trade Show,005Sq8Z0wjCdFUQUHx,SDR,2,1,1,0,1381,-638,0.0,0.0,0.5,0.5,0.0,0.0014471780028943,0.0,-0.0031397174254317,1.0,1.0,730_plus,1_2,1
Nurturing,Web,005Fg6NzJiUZlow1pr,BDR,6,0,6,1,1172,61,0.0,0.0,0.0,1.0,0.1666666666666666,0.0051150895140664,0.000852514919011,0.0967741935483871,1.0,1.0,730_plus,6_10,1
Nurturing,Event,005y5u3soBmeQ9pyxl,AE,4,1,3,1,1424,-326,0.0,0.0,0.25,0.75,0.25,0.0028070175438596,0.0007017543859649,-0.0123076923076923,1.0,1.0,730_plus,3_5,1
Open,Inbound,005Fg6NzJiUZlow1pr,BDR,2,1,1,0,791,442,0.0,0.0,0.5,0.5,0.0,0.0025252525252525,0.0,0.0045146726862302,1.0,1.0,730_plus,1_2,0
Working,Web,0057tOW88h5S2FQMo9,AE,3,1,2,1,1009,35,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0029702970297029,0.0009900990099009,0.0833333333333333,1.0,1.0,730_plus,3_5,1
Open,Partner Referral,00536VT96AN7M9vHvw,BDR,4,2,2,1,1394,-498,0.0,0.0,0.5,0.5,0.25,0.0028673835125448,0.0007168458781362,-0.0080482897384305,1.0,1.0,730_plus,3_5,0
Nurturing,Partner Referral,005gYdlj9yv5Cc6zkp,BDR,4,2,2,2,518,-217,0.0,0.0,0.5,0.5,0.5,0.0077071290944123,0.0038535645472061,-0.0185185185185185,1.0,1.0,366_730,3_5,0
Working,Event,005qhOaTRDj8l4v6Lo,SDR,3,1,2,0,8,1298,21.0,16.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0023094688221709,0.058823529411764705,0.045454545454545456,0_30,3_5,1
Qualified,Trade Show,005xG5kruHOvgAC23A,BDR,5,2,3,5,680,-264,0.0,0.0,0.4,0.6,1.0,0.0073421439060205,0.0073421439060205,-0.0190114068441064,1.0,1.0,366_730,3_5,0
Qualified,Trade Show,005NhmgMvZSpDy5y9P,BDR,2,0,2,1,841,88,0.0,0.0,0.0,1.0,0.5,0.002375296912114,0.001187648456057,0.0224719101123595,1.0,1.0,730_plus,1_2,0
Open,Partner Referral,005oNQqFKPLjEKAacs,SDR,4,2,2,2,1403,-271,0.0,0.0,0.5,0.5,0.5,0.0028490028490028,0.0014245014245014,-0.0148148148148148,1.0,1.0,730_plus,3_5,1
Qualified,Trade Show,005H18uJWTVdyNheWe,BDR,3,2,1,1,1124,-1009,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0026666666666666,0.0008888888888888,-0.0029761904761904,1.0,1.0,730_plus,3_5,0
Working,Trade Show,005n3YnrPf6lJOdoQd,AE,1,0,1,0,323,115,1041.0,1037.0,0.0,1.0,0.0,0.0030864197530864,0.0,0.0086206896551724,0.0009633911368015414,0.0009596928982725527,181_365,1_2,1
Nurturing,Web,005M5xWWu90p0JPGJQ,BDR,2,1,1,1,813,-493,0.0,0.0,0.5,0.5,0.5,0.0024570024570024,0.0012285012285012,-0.0040650406504065,1.0,1.0,730_plus,1_2,1
Open,Trade Show,005O8TxStNstfUeWj7,BDR,10,6,4,4,1176,368,0.0,0.0,0.6,0.4,0.4,0.0084961767204757,0.0033984706881903,0.02710027100271,1.0,1.0,730_plus,6_10,0
Nurturing,Inbound,005U1SVjkIk2fyV5rw,SDR,4,2,2,2,400,-385,13.0,0.0,0.5,0.5,0.5,0.0099750623441396,0.0049875311720698,-0.0104166666666666,1.0,0.07142857142857142,366_730,3_5,1
Qualified,Outbound,005Cu36WnbRoy8DEqo,SDR,6,4,2,2,601,146,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0099667774086378,0.0033222591362126,0.0408163265306122,1.0,1.0,366_730,6_10,0
Nurturing,Trade Show,005bRaTeyEXQ8Puofm,BDR,2,1,1,0,1330,-152,0.0,0.0,0.5,0.5,0.0,0.0015026296018031,0.0,-0.0132450331125827,1.0,1.0,730_plus,1_2,0
Nurturing,Trade Show,005T3CcQW30Fc3HxzP,BDR,3,2,1,2,275,70,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0108695652173913,0.0072463768115942,0.0422535211267605,1.0,1.0,181_365,3_5,1
Open,Trade Show,0052yGgxi1v4hCqV4x,SDR,2,2,0,1,1380,-199,0.0,0.0,1.0,0.0,0.5,0.001448225923244,0.000724112961622,-0.0101010101010101,1.0,1.0,730_plus,1_2,0
Open,Event,005U1cnD3W8AfIM0Y9,BDR,5,3,2,2,722,344,0.0,0.0,0.6,0.4,0.4,0.0069156293222683,0.0027662517289073,0.0144927536231884,1.0,1.0,366_730,3_5,1
Qualified,Outbound,00536VT96AN7M9vHvw,BDR,3,1,2,0,1176,-280,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0025488530161427,0.0,-0.010752688172043,1.0,1.0,730_plus,3_5,1
Nurturing,Inbound,005XZUpRP9HBvLfhY6,BDR,1,0,1,0,808,258,0.0,0.0,0.0,1.0,0.0,0.0012360939431396,0.0,0.0038610038610038,1.0,1.0,730_plus,1_2,1
Working,Trade Show,005U1SVjkIk2fyV5rw,SDR,5,4,1,1,336,-321,0.0,0.0,0.8,0.2,0.2,0.0148367952522255,0.0029673590504451,-0.015625,1.0,1.0,181_365,3_5,0
Open,Inbound,00512E80qDwAaI1oOE,SDR,2,1,1,0,49,1315,1147.0,1142.0,0.5,0.5,0.0,0.04,0.0,0.0015197568389057,0.0008748906386701663,0.0008710801393728223,31_90,1_2,0
Open,Event,00536VT96AN7M9vHvw,BDR,2,1,1,2,160,736,258.0,251.0,0.5,0.5,1.0,0.0124223602484472,0.0124223602484472,0.0027137042062415,0.003968253968253968,0.003861003861003861,91_180,1_2,0
Nurturing,Outbound,005bRaTeyEXQ8Puofm,BDR,3,2,1,2,1262,-84,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.002375296912114,0.0015835312747426,-0.036144578313253,1.0,1.0,730_plus,3_5,1
Open,Inbound,005JwwpEL8xofdwkwl,SDR,9,4,5,1,1400,-565,0.0,0.0,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.006423982869379,0.0007137758743754,-0.0159574468085106,1.0,1.0,730_plus,6_10,1
Nurturing,Inbound,005irLwe9xEBlEAQNC,SDR,5,2,3,0,1313,-1274,0.0,0.0,0.4,0.6,0.0,0.0038051750380517,0.0,-0.0039277297721916,1.0,1.0,730_plus,3_5,0
Nurturing,Web,005PuqoGxlvwVICWiV,BDR,7,4,3,1,1300,282,0.0,0.0,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.005380476556495,0.0007686395080707,0.0247349823321554,1.0,1.0,730_plus,6_10,0
Qualified,Outbound,005nz6ixedb0ulRU2P,BDR,4,1,3,0,440,1177,0.0,0.0,0.25,0.75,0.0,0.0090702947845804,0.0,0.0033955857385398,1.0,1.0,366_730,3_5,0
Working,Partner Referral,00512E80qDwAaI1oOE,SDR,5,3,2,2,492,872,0.0,0.0,0.6,0.4,0.4,0.0101419878296146,0.0040567951318458,0.0057273768613974,1.0,1.0,366_730,3_5,0
Qualified,Trade Show,00512E80qDwAaI1oOE,SDR,0,0,0,0,442,922,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366_730,0,1
Nurturing,Web,005SotgxabsZFoiinJ,BDR,5,1,4,3,1353,-869,0.0,0.0,0.2,0.8,0.6,0.0036927621861152,0.0022156573116691,-0.0057603686635944,1.0,1.0,730_plus,3_5,1
Open,Inbound,005GmCcmrt3DPvCZcO,BDR,3,1,2,1,499,522,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.006,0.002,0.005736137667304,1.0,1.0,366_730,3_5,1
Open,Partner Referral,005ygjBY3eCoYXQvBW,SDR,3,2,1,2,975,555,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0030737704918032,0.0020491803278688,0.0053956834532374,1.0,1.0,730_plus,3_5,1
Open,Inbound,005eDoAsKFf2bpyVk2,BDR,5,2,3,1,1437,-1326,0.0,0.0,0.4,0.6,0.2,0.0034770514603616,0.0006954102920723,-0.0037735849056603,1.0,1.0,730_plus,3_5,1
Working,Partner Referral,005gvRs74Xd8fUlA3x,BDR,4,2,2,1,799,851,0.0,0.0,0.5,0.5,0.25,0.005,0.00125,0.0046948356807511,1.0,1.0,730_plus,3_5,0
Nurturing,Web,005YJKL1sxnz5KucCa,SDR,4,3,1,0,1098,-436,0.0,0.0,0.75,0.25,0.0,0.0036396724294813,0.0,-0.0091954022988505,1.0,1.0,730_plus,3_5,0
Qualified,Web,005nz6ixedb0ulRU2P,BDR,5,4,1,2,277,1340,241.0,222.0,0.8,0.2,0.4,0.0179856115107913,0.0071942446043165,0.0037285607755406,0.004484304932735426,0.004132231404958678,181_365,3_5,1
Nurturing,Trade Show,005SW3xD3pVRHzXb4Z,SDR,7,4,3,4,676,762,0.0,0.0,0.5714285714285714,0.4285714285714285,0.5714285714285714,0.0103397341211226,0.0059084194977843,0.0091743119266055,1.0,1.0,366_730,6_10,1
Open,Partner Referral,005GmCcmrt3DPvCZcO,BDR,1,1,0,0,1308,-287,0.0,0.0,1.0,0.0,0.0,0.0007639419404125,0.0,-0.0034965034965034,1.0,1.0,730_plus,1_2,1
Nurturing,Web,005FA8TcXwRGIFLbcj,SDR,4,1,3,1,776,276,0.0,0.0,0.25,0.75,0.25,0.0051480051480051,0.0012870012870012,0.0144404332129963,1.0,1.0,730_plus,3_5,1
Nurturing,Trade Show,005gYdlj9yv5Cc6zkp,BDR,8,5,3,3,1246,-945,0.0,0.0,0.625,0.375,0.375,0.0064153969526864,0.0024057738572574,-0.0084745762711864,1.0,1.0,730_plus,6_10,1
Qualified,Web,005PsOTr02Fp2pwCFZ,BDR,1,0,1,0,623,69,723.0,721.0,0.0,1.0,0.0,0.0016025641025641,0.0,0.0142857142857142,0.0013850415512465374,0.0013812154696132596,366_730,1_2,0
Qualified,Inbound,005DS8Y3naP935K0U7,BDR,2,1,1,0,454,645,378.0,349.0,0.5,0.5,0.0,0.0043956043956043,0.0,0.0030959752321981,0.002857142857142857,0.002638522427440633,366_730,1_2,0
Nurturing,Trade Show,005JwwpEL8xofdwkwl,SDR,2,2,0,0,428,407,0.0,0.0,1.0,0.0,0.0,0.0046620046620046,0.0,0.0049019607843137,1.0,1.0,366_730,1_2,1
Open,Outbound,005NhmgMvZSpDy5y9P,BDR,6,4,2,5,748,181,0.0,0.0,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.0080106809078771,0.0066755674232309,0.0329670329670329,1.0,1.0,730_plus,6_10,0
Qualified,Outbound,005Fg6NzJiUZlow1pr,BDR,8,4,4,2,532,701,0.0,0.0,0.5,0.5,0.25,0.0150093808630394,0.0037523452157598,0.0113960113960113,1.0,1.0,366_730,6_10,0
Open,Trade Show,005mYnZlHWW2dnL0rt,BDR,5,2,3,2,1439,116,0.0,0.0,0.4,0.6,0.4,0.0034722222222222,0.0013888888888888,0.0427350427350427,1.0,1.0,730_plus,3_5,1
Open,Trade Show,005Xq8vs8ialvuJ4ap,SDR,2,1,1,0,61,57,864.0,848.0,0.5,0.5,0.0,0.032258064516129,0.0,0.0344827586206896,0.001177856301531213,0.0011560693641618498,31_90,1_2,1
Working,Trade Show,005yopVEVGjrYSQu2q,SDR,5,3,2,2,621,529,0.0,0.0,0.6,0.4,0.4,0.0080385852090032,0.0032154340836012,0.0094339622641509,1.0,1.0,366_730,3_5,1
Qualified,Partner Referral,005kYbLfois6p7LjKf,SDR,5,4,1,2,268,239,489.0,482.0,0.8,0.2,0.4,0.0185873605947955,0.0074349442379182,0.0208333333333333,0.002070393374741201,0.0020408163265306124,181_365,3_5,1
Qualified,Inbound,0058Bwr0RkCwwLehpc,BDR,4,2,2,3,1,484,664.0,644.0,0.5,0.5,0.75,2.0,1.5,0.0082474226804123,0.0015503875968992248,0.0015037593984962407,0_30,3_5,1
Qualified,Web,005voBFvhNYadVKXTu,BDR,5,2,3,3,1321,-741,0.0,0.0,0.4,0.6,0.6,0.0037821482602118,0.002269288956127,-0.0067567567567567,1.0,1.0,730_plus,3_5,0
Qualified,Event,005iRmiKUtSSkR82g5,BDR,4,1,3,3,1456,-149,0.0,0.0,0.25,0.75,0.75,0.002745367192862,0.0020590253946465,-0.027027027027027,1.0,1.0,730_plus,3_5,1
Working,Partner Referral,005TqlXejhWbvjVWsd,AE,3,2,1,0,1212,-742,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0024732069249793,0.0,-0.0040485829959514,1.0,1.0,730_plus,3_5,1
Qualified,Inbound,005DJJzk8TFPHjwamm,BDR,7,4,3,1,1205,330,0.0,0.0,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.005804311774461,0.0008291873963515,0.0211480362537764,1.0,1.0,730_plus,6_10,1
Nurturing,Partner Referral,005w1rZfJkoRoaYcEo,BDR,3,1,2,3,124,1419,822.0,796.0,0.3333333333333333,0.6666666666666666,1.0,0.024,0.024,0.002112676056338,0.0012547051442910915,0.001215066828675577,91_180,3_5,1
Open,Inbound,005kGz3iLXUMdHQq3f,SDR,4,2,2,1,672,324,0.0,0.0,0.5,0.5,0.25,0.0059435364041604,0.0014858841010401,0.0123076923076923,1.0,1.0,366_730,3_5,1
Qualified,Partner Referral,005lFrIUHPTHLXsJgY,BDR,3,2,1,0,1228,-456,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0024410089503661,0.0,-0.0065934065934065,1.0,1.0,730_plus,3_5,0
Open,Partner Referral,005FmC4bvUmQBFO9r1,BDR,2,1,1,2,517,1161,0.0,0.0,0.5,0.5,1.0,0.0038610038610038,0.0038610038610038,0.0017211703958691,1.0,1.0,366_730,1_2,0
Qualified,Partner Referral,0054cPwdknqYVBf2UL,BDR,3,2,1,1,27,887,912.0,887.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.1071428571428571,0.0357142857142857,0.0033783783783783,0.0011261261261261261,0.001095290251916758,0_30,3_5,1
Working,Event,005GBFWjFmmyU3YASa,BDR,6,4,2,2,949,-239,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0063157894736842,0.0021052631578947,-0.0252100840336134,1.0,1.0,730_plus,6_10,0
Nurturing,Partner Referral,005N1Jj8umhbHxSPTH,SDR,1,0,1,0,205,-192,0.0,0.0,0.0,1.0,0.0,0.0048543689320388,0.0,-0.0052356020942408,1.0,1.0,181_365,1_2,1
Open,Trade Show,005xQtcNnSs6fMHI2E,AE,2,1,1,1,613,228,0.0,0.0,0.5,0.5,0.5,0.003257328990228,0.001628664495114,0.0087336244541484,1.0,1.0,366_730,1_2,0
Working,Inbound,005PsOTr02Fp2pwCFZ,BDR,3,2,1,0,58,634,680.0,677.0,0.6666666666666666,0.3333333333333333,0.0,0.0508474576271186,0.0,0.0047244094488188,0.0014749262536873156,0.0014684287812041115,31_90,3_5,1
Nurturing,Web,005GmCcmrt3DPvCZcO,BDR,5,4,1,2,827,194,0.0,0.0,0.8,0.2,0.4,0.0060386473429951,0.002415458937198,0.0256410256410256,1.0,1.0,730_plus,3_5,1
Working,Inbound,005H18uJWTVdyNheWe,BDR,5,3,2,4,179,-64,0.0,0.0,0.6,0.4,0.8,0.0277777777777777,0.0222222222222222,-0.0793650793650793,1.0,1.0,91_180,3_5,1
Nurturing,Outbound,005chtXE6kHD1j5gMk,BDR,1,1,0,0,1065,-50,0.0,0.0,1.0,0.0,0.0,0.0009380863039399,0.0,-0.0204081632653061,1.0,1.0,730_plus,1_2,1
Open,Partner Referral,005lFrIUHPTHLXsJgY,BDR,2,1,1,1,5,767,1016.0,994.0,0.5,0.5,0.5,0.3333333333333333,0.1666666666666666,0.0026041666666666,0.0010050251256281408,0.0009832841691248771,0_30,1_2,1
Qualified,Web,00552has5XdvFlGgIo,SDR,3,2,1,2,1077,518,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0027829313543599,0.0018552875695732,0.0057803468208092,1.0,1.0,730_plus,3_5,1
Nurturing,Inbound,005hrcAAsV0H3bsIeE,SDR,4,4,0,1,831,-447,0.0,0.0,1.0,0.0,0.25,0.0048076923076923,0.001201923076923,-0.0089686098654708,1.0,1.0,730_plus,3_5,1
Qualified,Web,005O8TxStNstfUeWj7,BDR,4,0,4,2,18,1526,519.0,518.0,0.0,1.0,0.5,0.2105263157894736,0.1052631578947368,0.0026195153896529,0.0019267822736030828,0.0019230769230769232,0_30,3_5,0
Nurturing,Event,005NhmgMvZSpDy5y9P,BDR,4,1,3,0,727,202,0.0,0.0,0.25,0.75,0.0,0.0054945054945054,0.0,0.0197044334975369,1.0,1.0,366_730,3_5,0
Working,Partner Referral,005Fg6NzJiUZlow1pr,BDR,3,1,2,0,968,265,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0030959752321981,0.0,0.0112781954887218,1.0,1.0,730_plus,3_5,1
Qualified,Web,005tRa1eePdjJYM6mg,BDR,3,3,0,1,828,616,109.0,90.0,1.0,0.0,0.3333333333333333,0.0036188178528347,0.0012062726176115,0.0048622366288492,0.01098901098901099,0.00909090909090909,730_plus,3_5,0
Qualified,Outbound,0052vuTGNhPaf9DJtR,SDR,3,0,3,2,483,-377,0.0,0.0,0.0,1.0,0.6666666666666666,0.006198347107438,0.0041322314049586,-0.0079787234042553,1.0,1.0,366_730,3_5,1
Qualified,Web,005chtXE6kHD1j5gMk,BDR,4,2,2,4,1227,-212,0.0,0.0,0.5,0.5,1.0,0.003257328990228,0.003257328990228,-0.0189573459715639,1.0,1.0,730_plus,3_5,1
Qualified,Trade Show,0055pWDZRM9H820dFq,SDR,5,3,2,0,217,133,109.0,92.0,0.6,0.4,0.0,0.0229357798165137,0.0,0.0373134328358208,0.010752688172043012,0.00909090909090909,181_365,3_5,0
Open,Event,005YgcwjR0nrnHIGZX,SDR,5,1,4,2,1159,384,0.0,0.0,0.2,0.8,0.4,0.0043103448275862,0.0017241379310344,0.0129870129870129,1.0,1.0,730_plus,3_5,0
Open,Outbound,00552has5XdvFlGgIo,SDR,2,0,2,1,1245,350,0.0,0.0,0.0,1.0,0.5,0.0016051364365971,0.0008025682182985,0.0056980056980056,1.0,1.0,730_plus,1_2,0
Open,Trade Show,005Tdp9BDe2ZbrGft6,AE,5,3,2,2,1419,-595,0.0,0.0,0.6,0.4,0.4,0.0035211267605633,0.0014084507042253,-0.0084175084175084,1.0,1.0,730_plus,3_5,1
Open,Inbound,005pCTycClXuIF6SUv,BDR,4,2,2,3,1408,-642,0.0,0.0,0.5,0.5,0.75,0.0028388928317956,0.0021291696238466,-0.0062402496099844,1.0,1.0,730_plus,3_5,0
Qualified,Trade Show,0054cPwdknqYVBf2UL,BDR,3,2,1,2,364,550,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0082191780821917,0.0054794520547945,0.0054446460980036,1.0,1.0,181_365,3_5,1
Qualified,Outbound,005AjaFO16Hd8Hp1Jf,AE,1,1,0,0,615,768,0.0,0.0,1.0,0.0,0.0,0.0016233766233766,0.0,0.0013003901170351,1.0,1.0,366_730,1_2,1
Nurturing,Trade Show,005OHuMUHvi8wsLMNv,SDR,4,0,4,3,357,550,0.0,0.0,0.0,1.0,0.75,0.0111731843575419,0.0083798882681564,0.0072595281306715,1.0,1.0,181_365,3_5,0
Open,Event,005zWOoMnQrwuxqr1I,SDR,5,2,3,2,1397,-195,0.0,0.0,0.4,0.6,0.4,0.0035765379113018,0.0014306151645207,-0.0257731958762886,1.0,1.0,730_plus,3_5,1
Nurturing,Inbound,005iRmiKUtSSkR82g5,BDR,6,2,4,1,376,931,0.0,0.0,0.3333333333333333,0.6666666666666666,0.1666666666666666,0.0159151193633952,0.0026525198938992,0.0064377682403433,1.0,1.0,366_730,6_10,0
Nurturing,Trade Show,005EecxXglGcgO8nCu,AE,2,1,1,1,1229,291,0.0,0.0,0.5,0.5,0.5,0.0016260162601626,0.0008130081300813,0.0068493150684931,1.0,1.0,730_plus,1_2,1
Open,Outbound,005GmCcmrt3DPvCZcO,BDR,3,0,3,1,44,977,679.0,652.0,0.0,1.0,0.3333333333333333,0.0666666666666666,0.0222222222222222,0.0030674846625766,0.0015313935681470138,0.0014705882352941176,31_90,3_5,0
Open,Web,005YgcwjR0nrnHIGZX,SDR,5,2,3,1,686,857,39.0,38.0,0.4,0.6,0.2,0.007278020378457,0.0014556040756914,0.0058275058275058,0.02564102564102564,0.025,366_730,3_5,1
Open,Partner Referral,005ZhFZ3TvVOVxKEgo,SDR,2,1,1,0,782,-633,0.0,0.0,0.5,0.5,0.0,0.0025542784163473,0.0,-0.0031645569620253,1.0,1.0,730_plus,1_2,0
Nurturing,Trade Show,005VxJy5mAR2JIiQzL,SDR,4,2,2,0,429,-288,0.0,0.0,0.5,0.5,0.0,0.0093023255813953,0.0,-0.0139372822299651,1.0,1.0,366_730,3_5,0
Open,Outbound,00574uwHCzqanx744B,AE,1,1,0,0,830,-422,294.0,281.0,1.0,0.0,0.0,0.0012033694344163,0.0,-0.002375296912114,0.0035460992907801418,0.003389830508474576,730_plus,1_2,0
Nurturing,Partner Referral,005g4fdGzuew1U6NXU,SDR,4,1,3,2,131,632,202.0,195.0,0.25,0.75,0.5,0.0303030303030303,0.0151515151515151,0.0063191153238546,0.00510204081632653,0.0049261083743842365,91_180,3_5,1
Working,Inbound,005RpFPjmmumSx8sB2,AE,0,0,0,0,116,1534,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91_180,0,0
Working,Event,00566La41L76C1ZyfL,SDR,3,1,2,1,66,1383,1106.0,1077.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.044776119402985,0.0149253731343283,0.0021676300578034,0.0009276437847866419,0.0009033423667570009,31_90,3_5,0
Open,Trade Show,005zWOoMnQrwuxqr1I,SDR,1,1,0,0,1449,-247,0.0,0.0,1.0,0.0,0.0,0.0006896551724137,0.0,-0.0040650406504065,1.0,1.0,730_plus,1_2,1
Open,Event,005GmCcmrt3DPvCZcO,BDR,4,1,3,2,551,470,0.0,0.0,0.25,0.75,0.5,0.0072463768115942,0.0036231884057971,0.0084925690021231,1.0,1.0,366_730,3_5,1
Working,Inbound,005EhkAnpKcWuNovJ6,BDR,6,2,4,3,1298,-539,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.0046189376443418,0.0023094688221709,-0.0111524163568773,1.0,1.0,730_plus,6_10,1
Working,Inbound,005DS8Y3naP935K0U7,BDR,4,2,2,2,882,217,0.0,0.0,0.5,0.5,0.5,0.0045300113250283,0.0022650056625141,0.018348623853211,1.0,1.0,730_plus,3_5,0
Qualified,Trade Show,005egJ9DcGz51VtFgp,AE,1,1,0,0,506,-237,0.0,0.0,1.0,0.0,0.0,0.0019723865877712,0.0,-0.0042372881355932,1.0,1.0,366_730,1_2,1
Nurturing,Inbound,005irLwe9xEBlEAQNC,SDR,4,2,2,1,164,-125,0.0,0.0,0.5,0.5,0.25,0.0242424242424242,0.006060606060606,-0.032258064516129,1.0,1.0,91_180,3_5,1
Working,Partner Referral,005DS8Y3naP935K0U7,BDR,1,1,0,0,501,598,105.0,92.0,1.0,0.0,0.0,0.0019920318725099,0.0,0.001669449081803,0.010752688172043012,0.009433962264150943,366_730,1_2,1
Working,Web,005eP2OT2tJzd6Dja9,BDR,2,1,1,0,362,407,220.0,195.0,0.5,0.5,0.0,0.0055096418732782,0.0,0.0049019607843137,0.00510204081632653,0.004524886877828055,181_365,1_2,1
Open,Trade Show,005VLfsfX7zhRzFubF,SDR,3,2,1,1,1291,-494,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0023219814241486,0.0007739938080495,-0.0060851926977687,1.0,1.0,730_plus,3_5,1
Nurturing,Trade Show,005EhkAnpKcWuNovJ6,BDR,3,1,2,2,318,441,964.0,958.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0094043887147335,0.006269592476489,0.006787330316742,0.0010427528675703858,0.0010362694300518134,181_365,3_5,0
Working,Partner Referral,005Ozb2jx0nnrpjBm7,SDR,3,2,1,0,456,807,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0065645514223194,0.0,0.0037128712871287,1.0,1.0,366_730,3_5,1
Nurturing,Inbound,005mYnZlHWW2dnL0rt,BDR,5,2,3,3,684,871,0.0,0.0,0.4,0.6,0.6,0.0072992700729927,0.0043795620437956,0.0057339449541284,1.0,1.0,366_730,3_5,1
Open,Web,005oNQqFKPLjEKAacs,SDR,4,1,3,3,107,1025,0.0,0.0,0.25,0.75,0.75,0.037037037037037,0.0277777777777777,0.0038986354775828,1.0,1.0,91_180,3_5,1
Qualified,Outbound,005o6FGxPqqWKpnCkp,AE,3,0,3,1,735,568,0.0,0.0,0.0,1.0,0.3333333333333333,0.0040760869565217,0.0013586956521739,0.0052724077328646,1.0,1.0,730_plus,3_5,0
Working,Inbound,005IAWyyPlUBLQDIva,SDR,3,3,0,1,717,276,0.0,0.0,1.0,0.0,0.3333333333333333,0.0041782729805013,0.0013927576601671,0.0108303249097472,1.0,1.0,366_730,3_5,0
Nurturing,Inbound,005UcROE8MIxxlGJGK,AE,6,2,4,3,870,-34,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.0068886337543053,0.0034443168771526,-0.1818181818181818,1.0,1.0,730_plus,6_10,1
Nurturing,Trade Show,005SHkriY5Z0W9xzJS,BDR,5,1,4,1,1405,-1403,0.0,0.0,0.2,0.8,0.2,0.003556187766714,0.0007112375533428,-0.0035663338088445,1.0,1.0,730_plus,3_5,1
Open,Trade Show,005kPk12Yr5iVYwvIy,AE,3,0,3,1,3,1324,24.0,20.0,0.0,1.0,0.3333333333333333,0.75,0.25,0.0022641509433962,0.047619047619047616,0.04,0_30,3_5,0
Nurturing,Outbound,005xIxpup9aX5Yc366,AE,2,1,1,1,1106,-417,0.0,0.0,0.5,0.5,0.5,0.001806684733514,0.000903342366757,-0.0048076923076923,1.0,1.0,730_plus,1_2,1
Nurturing,Trade Show,005Jf9CIg9lV3G32cG,BDR,5,3,2,1,1181,-188,0.0,0.0,0.6,0.4,0.2,0.0042301184433164,0.0008460236886632,-0.0267379679144385,1.0,1.0,730_plus,3_5,0
Open,Partner Referral,005oyndEH15fmiBogk,AE,2,0,2,1,269,142,194.0,193.0,0.0,1.0,0.5,0.0074074074074074,0.0037037037037037,0.0139860139860139,0.005154639175257732,0.005128205128205128,181_365,1_2,1
Qualified,Event,005GBFWjFmmyU3YASa,BDR,1,1,0,0,49,661,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0015105740181268,1.0,1.0,31_90,1_2,1
Nurturing,Event,005g4fdGzuew1U6NXU,SDR,3,2,1,0,613,150,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.004885993485342,0.0,0.0198675496688741,1.0,1.0,366_730,3_5,0
Open,Outbound,0053WZIwXgjGUPdHRc,SDR,3,1,2,1,888,-465,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0033745781777277,0.0011248593925759,-0.0064655172413793,1.0,1.0,730_plus,3_5,0
Nurturing,Event,005Pa6uUR0EkXHgr5D,AE,4,3,1,1,649,-366,0.0,0.0,0.75,0.25,0.25,0.0061538461538461,0.0015384615384615,-0.010958904109589,1.0,1.0,366_730,3_5,1
